power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),Sdifference
4.78E-09,1750112361,4.61E-09,1750112362,1.82E-02
4.80E-09,1750112362,4.61E-09,1750112362,2.00E-02
4.80E-09,1750112362,4.60E-09,1750112362,2.10E-02
4.80E-09,1750112362,4.60E-09,1750112362,2.19E-02
4.80E-09,1750112362,4.59E-09,1750112362,2.23E-02
4.80E-09,1750112362,4.59E-09,1750112362,2.22E-02
4.79E-09,1750112362,4.59E-09,1750112362,2.21E-02
4.79E-09,1750112362,4.58E-09,1750112362,2.17E-02
4.78E-09,1750112362,4.58E-09,1750112362,2.11E-02
4.78E-09,1750112362,4.58E-09,1750112362,2.10E-02
4.77E-09,1750112362,4.58E-09,1750112362,2.04E-02
4.77E-09,1750112362,4.58E-09,1750112362,2.05E-02
4.77E-09,1750112362,4.58E-09,1750112362,2.10E-02
4.78E-09,1750112362,4.57E-09,1750112362,2.17E-02
4.78E-09,1750112362,4.57E-09,1750112362,2.32E-02
4.79E-09,1750112363,4.56E-09,1750112363,2.46E-02
4.81E-09,1750112363,4.56E-09,1750112363,2.72E-02
4.83E-09,1750112363,4.55E-09,1750112363,2.93E-02
4.85E-09,1750112363,4.55E-09,1750112363,3.12E-02
4.87E-09,1750112363,4.55E-09,1750112363,3.38E-02
4.89E-09,1750112363,4.55E-09,1750112363,3.62E-02
4.92E-09,1750112363,4.55E-09,1750112363,3.85E-02
4.92E-09,1750112363,4.54E-09,1750112363,4.00E-02
4.92E-09,1750112363,4.54E-09,1750112363,4.07E-02
4.91E-09,1750112363,4.53E-09,1750112363,4.07E-02
4.89E-09,1750112363,4.52E-09,1750112363,3.99E-02
4.87E-09,1750112363,4.51E-09,1750112363,3.92E-02
4.86E-09,1750112363,4.50E-09,1750112363,3.84E-02
4.85E-09,1750112363,4.49E-09,1750112363,3.79E-02
4.84E-09,1750112363,4.49E-09,1750112363,3.80E-02
4.84E-09,1750112364,4.48E-09,1750112364,3.85E-02
4.84E-09,1750112364,4.47E-09,1750112364,3.95E-02
4.84E-09,1750112364,4.46E-09,1750112364,4.07E-02
4.85E-09,1750112364,4.45E-09,1750112364,4.22E-02
4.84E-09,1750112364,4.44E-09,1750112364,4.25E-02
4.83E-09,1750112364,4.43E-09,1750112364,4.27E-02
4.81E-09,1750112364,4.43E-09,1750112364,4.17E-02
4.80E-09,1750112364,4.43E-09,1750112364,4.04E-02
4.77E-09,1750112364,4.43E-09,1750112364,3.72E-02
4.75E-09,1750112364,4.43E-09,1750112364,3.45E-02
4.73E-09,1750112364,4.44E-09,1750112364,3.14E-02
4.70E-09,1750112364,4.45E-09,1750112364,2.82E-02
4.69E-09,1750112364,4.45E-09,1750112364,2.55E-02
4.67E-09,1750112364,4.46E-09,1750112364,2.29E-02
4.65E-09,1750112364,4.46E-09,1750112364,2.09E-02
4.64E-09,1750112365,4.46E-09,1750112365,1.98E-02
4.62E-09,1750112365,4.45E-09,1750112365,1.89E-02
4.60E-09,1750112365,4.44E-09,1750112365,1.81E-02
4.58E-09,1750112365,4.42E-09,1750112365,1.74E-02
4.56E-09,1750112365,4.40E-09,1750112365,1.75E-02
4.54E-09,1750112365,4.39E-09,1750112365,1.75E-02
4.52E-09,1750112365,4.37E-09,1750112365,1.78E-02
4.51E-09,1750112365,4.35E-09,1750112365,1.77E-02
4.49E-09,1750112365,4.33E-09,1750112365,1.76E-02
4.48E-09,1750112365,4.32E-09,1750112365,1.81E-02
4.46E-09,1750112365,4.30E-09,1750112365,1.82E-02
4.45E-09,1750112365,4.29E-09,1750112365,1.79E-02
4.44E-09,1750112365,4.28E-09,1750112365,1.78E-02
4.42E-09,1750112365,4.28E-09,1750112365,1.67E-02
4.41E-09,1750112365,4.28E-09,1750112365,1.57E-02
4.40E-09,1750112366,4.28E-09,1750112366,1.42E-02
4.40E-09,1750112366,4.29E-09,1750112366,1.21E-02
4.39E-09,1750112366,4.30E-09,1750112366,1.03E-02
4.39E-09,1750112366,4.32E-09,1750112366,8.55E-03
4.40E-09,1750112366,4.34E-09,1750112366,6.95E-03
4.41E-09,1750112366,4.36E-09,1750112366,5.84E-03
4.43E-09,1750112366,4.39E-09,1750112366,4.56E-03
4.44E-09,1750112366,4.41E-09,1750112366,3.29E-03
4.46E-09,1750112366,4.44E-09,1750112366,2.11E-03
4.48E-09,1750112366,4.47E-09,1750112366,1.26E-03
4.51E-09,1750112366,4.50E-09,1750112366,3.30E-04
4.53E-09,1750112366,4.54E-09,1750112366,-4.58E-04
4.56E-09,1750112366,4.57E-09,1750112366,-1.10E-03
4.59E-09,1750112366,4.59E-09,1750112366,-6.90E-04
4.61E-09,1750112366,4.62E-09,1750112366,-4.65E-04
4.65E-09,1750112367,4.64E-09,1750112367,6.32E-04
4.68E-09,1750112367,4.66E-09,1750112367,1.66E-03
4.71E-09,1750112367,4.68E-09,1750112367,3.11E-03
4.74E-09,1750112367,4.70E-09,1750112367,4.35E-03
4.77E-09,1750112367,4.71E-09,1750112367,5.76E-03
4.80E-09,1750112367,4.73E-09,1750112367,7.75E-03
4.83E-09,1750112367,4.74E-09,1750112367,9.57E-03
4.85E-09,1750112367,4.75E-09,1750112367,1.12E-02
4.88E-09,1750112367,4.75E-09,1750112367,1.33E-02
4.90E-09,1750112367,4.76E-09,1750112367,1.52E-02
4.93E-09,1750112367,4.76E-09,1750112367,1.67E-02
4.94E-09,1750112367,4.77E-09,1750112367,1.72E-02
4.95E-09,1750112367,4.78E-09,1750112367,1.76E-02
4.95E-09,1750112367,4.78E-09,1750112367,1.75E-02
4.95E-09,1750112367,4.79E-09,1750112367,1.61E-02
4.94E-09,1750112368,4.79E-09,1750112368,1.52E-02
4.92E-09,1750112368,4.79E-09,1750112368,1.35E-02
4.90E-09,1750112368,4.78E-09,1750112368,1.18E-02
4.87E-09,1750112368,4.77E-09,1750112368,1.07E-02
4.85E-09,1750112368,4.76E-09,1750112368,9.56E-03
4.82E-09,1750112368,4.73E-09,1750112368,1.02E-02
4.81E-09,1750112368,4.71E-09,1750112368,9.86E-03
4.79E-09,1750112368,4.69E-09,1750112368,1.06E-02
4.78E-09,1750112368,4.69E-09,1750112368,9.95E-03
4.77E-09,1750112368,4.68E-09,1750112368,9.77E-03
4.77E-09,1750112368,4.67E-09,1750112368,1.02E-02
4.76E-09,1750112368,4.66E-09,1750112368,1.03E-02
4.76E-09,1750112368,4.63E-09,1750112369,1.36E-02
4.76E-09,1750112368,4.61E-09,1750112369,1.60E-02
4.76E-09,1750112368,4.59E-09,1750112369,1.86E-02
4.77E-09,1750112369,4.56E-09,1750112369,2.24E-02
4.77E-09,1750112369,4.54E-09,1750112369,2.51E-02
4.77E-09,1750112369,4.52E-09,1750112369,2.75E-02
4.77E-09,1750112369,4.50E-09,1750112369,2.97E-02
4.76E-09,1750112369,4.48E-09,1750112369,3.06E-02
4.76E-09,1750112369,4.47E-09,1750112369,3.18E-02
4.77E-09,1750112369,4.47E-09,1750112369,3.27E-02
4.78E-09,1750112369,4.47E-09,1750112369,3.29E-02
4.79E-09,1750112369,4.49E-09,1750112369,3.28E-02
4.81E-09,1750112369,4.51E-09,1750112369,3.28E-02
4.84E-09,1750112369,4.54E-09,1750112369,3.23E-02
4.87E-09,1750112369,4.58E-09,1750112369,3.08E-02
4.90E-09,1750112369,4.62E-09,1750112370,2.87E-02
4.93E-09,1750112369,4.67E-09,1750112370,2.64E-02
4.96E-09,1750112369,4.72E-09,1750112370,2.46E-02
5.00E-09,1750112370,4.77E-09,1750112370,2.34E-02
