total diff,Equation,alpha(rad),beta(rad),gamma(rad)
0.014488233336507728,no equation,0.7853981633974483,4.71238898038469,0.2
0.00980969290023348,no equation,0.7853981633974483,4.729890889318337,0.2
0.005119134195573638,no equation,0.7853981633974483,4.747392798251985,0.2
0.0004223038237688437,no equation,0.7853981633974483,4.764894707185634,0.2
-0.00427504393025635,no equation,0.7853981633974483,4.782396616119281,0.2
-0.008967154147710321,no equation,0.7853981633974483,4.799898525052929,0.2
-0.013648278326529706,no equation,0.7853981633974483,4.817400433986577,0.2
-0.01831268142410869,no equation,0.7853981633974483,4.834902342920225,0.2
-0.022954648883543705,no equation,0.7853981633974483,4.852404251853873,0.2
-0.027568493634777536,no equation,0.7853981633974483,4.8699061607875205,0.2
-0.03214856306206881,no equation,0.7853981633974483,4.887408069721168,0.2
-0.036689245929248715,no equation,0.7853981633974483,4.904909978654816,0.2
-0.04118497925428555,no equation,0.7853981633974483,4.922411887588464,0.2
-0.04563025512472463,no equation,0.7853981633974483,4.939913796522112,0.2
-0.05001962744566846,no equation,0.7853981633974483,4.95741570545576,0.2
-0.05434771861201382,no equation,0.7853981633974483,4.974917614389408,0.2
-0.05860922609678454,no equation,0.7853981633974483,4.992419523323056,0.2
-0.06279892894747974,no equation,0.7853981633974483,5.009921432256704,0.2
-0.0669116941824841,no equation,0.7853981633974483,5.027423341190351,0.2
-0.07094248307969775,no equation,0.7853981633974483,5.044925250123999,0.2
-0.07488635734969018,no equation,0.7853981633974483,5.062427159057647,0.2
-0.07873848518580495,no equation,0.7853981633974483,5.079929067991295,0.2
-0.08249414718380887,no equation,0.7853981633974483,5.097430976924943,0.2
-0.0861487421238365,no equation,0.7853981633974483,5.1149328858585905,0.2
-0.08969779260753491,no equation,0.7853981633974483,5.132434794792239,0.2
-0.09313695054351545,no equation,0.7853981633974483,5.149936703725887,0.2
-0.09646200247438264,no equation,0.7853981633974483,5.167438612659534,0.2
-0.09966887473881991,no equation,0.7853981633974483,5.184940521593182,0.2
-0.1027536384624021,no equation,0.7853981633974483,5.20244243052683,0.2
-0.10571251437102641,no equation,0.7853981633974483,5.219944339460477,0.2
-0.10854187742105953,no equation,0.7853981633974483,5.237446248394126,0.2
-0.1112382612405326,no equation,0.7853981633974483,5.254948157327774,0.2
-0.11379836237593904,no equation,0.7853981633974483,5.272450066261421,0.2
-0.11621904433943359,no equation,0.7853981633974483,5.28995197519507,0.2
-0.11849734145147861,no equation,0.7853981633974483,5.3074538841287175,0.2
-0.12063046247422021,no equation,0.7853981633974483,5.324955793062365,0.2
-0.12261579403115269,no equation,0.7853981633974483,5.342457701996013,0.2
-0.12445090380887792,no equation,0.7853981633974483,5.359959610929661,0.2
-0.12613354353703116,no equation,0.7853981633974483,5.377461519863308,0.2
-0.1276616517427345,no equation,0.7853981633974483,5.394963428796957,0.2
-0.08759328453145114,no equation,0.7853981633974483,5.4124653377306045,0.2
-0.02213506318583673,no equation,0.7853981633974483,5.429967246664252,0.2
0.04335027675898718,no equation,0.7853981633974483,5.447469155597901,0.2
0.10878250645193996,no equation,0.7853981633974483,5.464971064531548,0.2
0.13292544285094804,no equation,0.7853981633974483,5.482472973465196,0.2
0.13349382042496588,no equation,0.7853981633974483,5.499974882398844,0.2
0.13389864909098287,no equation,0.7853981633974483,5.517476791332491,0.2
0.13413943287633007,no equation,0.7853981633974483,5.534978700266139,0.2
0.1342158767866405,no equation,0.7853981633974483,5.552480609199788,0.2
0.13412788716725657,no equation,0.7853981633974483,5.569982518133435,0.2
0.13387557181796994,no equation,0.7853981633974483,5.587484427067084,0.2
0.13345923986095526,no equation,0.7853981633974483,5.6049863360007315,0.2
0.1328794013620454,no equation,0.7853981633974483,5.622488244934379,0.2
0.13213676670583463,no equation,0.7853981633974483,5.639990153868027,0.2
0.13123224572535214,no equation,0.7853981633974483,5.6574920628016745,0.2
0.13016694658738887,no equation,0.7853981633974483,5.674993971735322,0.2
0.12894217443483635,no equation,0.7853981633974483,5.692495880668971,0.2
0.1275594297876994,no equation,0.7853981633974483,5.709997789602618,0.2
0.1260204067047468,no equation,0.7853981633974483,5.727499698536266,0.2
0.12432699070804831,no equation,0.7853981633974483,5.745001607469914,0.2
0.12248125647294272,no equation,0.7853981633974483,5.762503516403562,0.2
0.12048546528626403,no equation,0.7853981633974483,5.78000542533721,0.2
0.11834206227594524,no equation,0.7853981633974483,5.797507334270858,0.2
0.11605367341538853,no equation,0.7853981633974483,5.815009243204505,0.2
0.11362310230627326,no equation,0.7853981633974483,5.832511152138153,0.2
0.11105332674374768,no equation,0.7853981633974483,5.8500130610718015,0.2
