power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),Sdifference
3.05E-08,1750294849,1.23E-08,1750294849,4.24E-01
3.05E-08,1750294849,1.23E-08,1750294849,4.24E-01
3.04E-08,1750294849,1.23E-08,1750294849,4.22E-01
3.04E-08,1750294849,1.23E-08,1750294849,4.22E-01
3.03E-08,1750294849,1.23E-08,1750294849,4.21E-01
3.02E-08,1750294849,1.23E-08,1750294849,4.21E-01
3.01E-08,1750294849,1.23E-08,1750294849,4.21E-01
3.00E-08,1750294849,1.22E-08,1750294849,4.21E-01
2.99E-08,1750294849,1.22E-08,1750294849,4.21E-01
2.99E-08,1750294849,1.22E-08,1750294849,4.21E-01
2.99E-08,1750294849,1.22E-08,1750294849,4.20E-01
2.99E-08,1750294849,1.23E-08,1750294849,4.18E-01
2.99E-08,1750294849,1.23E-08,1750294849,4.16E-01
3.00E-08,1750294850,1.25E-08,1750294849,4.13E-01
3.01E-08,1750294850,1.26E-08,1750294850,4.10E-01
3.02E-08,1750294850,1.28E-08,1750294850,4.05E-01
3.03E-08,1750294850,1.30E-08,1750294850,4.00E-01
3.05E-08,1750294850,1.32E-08,1750294850,3.94E-01
3.05E-08,1750294850,1.35E-08,1750294850,3.86E-01
3.06E-08,1750294850,1.38E-08,1750294850,3.79E-01
3.07E-08,1750294850,1.40E-08,1750294850,3.72E-01
3.08E-08,1750294850,1.43E-08,1750294850,3.66E-01
3.09E-08,1750294850,1.45E-08,1750294850,3.60E-01
3.10E-08,1750294850,1.48E-08,1750294850,3.54E-01
3.10E-08,1750294850,1.50E-08,1750294850,3.48E-01
3.10E-08,1750294850,1.52E-08,1750294850,3.42E-01
3.11E-08,1750294850,1.54E-08,1750294850,3.37E-01
3.11E-08,1750294850,1.56E-08,1750294850,3.31E-01
3.10E-08,1750294851,1.59E-08,1750294850,3.23E-01
3.09E-08,1750294851,1.61E-08,1750294851,3.16E-01
3.08E-08,1750294851,1.62E-08,1750294851,3.10E-01
3.07E-08,1750294851,1.64E-08,1750294851,3.04E-01
3.05E-08,1750294851,1.65E-08,1750294851,2.97E-01
3.04E-08,1750294851,1.66E-08,1750294851,2.93E-01
3.03E-08,1750294851,1.67E-08,1750294851,2.88E-01
3.01E-08,1750294851,1.68E-08,1750294851,2.82E-01
3.00E-08,1750294851,1.70E-08,1750294851,2.78E-01
2.99E-08,1750294851,1.71E-08,1750294851,2.73E-01
2.98E-08,1750294851,1.72E-08,1750294851,2.68E-01
2.97E-08,1750294851,1.73E-08,1750294851,2.63E-01
2.96E-08,1750294851,1.75E-08,1750294851,2.57E-01
2.95E-08,1750294851,1.76E-08,1750294851,2.52E-01
2.94E-08,1750294851,1.78E-08,1750294851,2.46E-01
2.92E-08,1750294852,1.79E-08,1750294851,2.39E-01
2.91E-08,1750294852,1.81E-08,1750294852,2.34E-01
2.90E-08,1750294852,1.82E-08,1750294852,2.30E-01
2.89E-08,1750294852,1.83E-08,1750294852,2.26E-01
2.89E-08,1750294852,1.84E-08,1750294852,2.23E-01
2.88E-08,1750294852,1.85E-08,1750294852,2.17E-01
2.88E-08,1750294852,1.87E-08,1750294852,2.14E-01
2.87E-08,1750294852,1.89E-08,1750294852,2.06E-01
2.86E-08,1750294852,1.90E-08,1750294852,2.01E-01
2.84E-08,1750294852,1.92E-08,1750294852,1.94E-01
2.82E-08,1750294852,1.93E-08,1750294852,1.88E-01
2.81E-08,1750294852,1.94E-08,1750294852,1.83E-01
2.79E-08,1750294852,1.96E-08,1750294852,1.76E-01
2.77E-08,1750294852,1.97E-08,1750294852,1.69E-01
2.76E-08,1750294852,1.98E-08,1750294853,1.65E-01
2.74E-08,1750294853,1.99E-08,1750294853,1.59E-01
2.73E-08,1750294853,1.99E-08,1750294853,1.56E-01
2.71E-08,1750294853,2.00E-08,1750294853,1.52E-01
2.70E-08,1750294853,1.99E-08,1750294853,1.50E-01
2.68E-08,1750294853,1.99E-08,1750294853,1.47E-01
2.66E-08,1750294853,1.98E-08,1750294853,1.46E-01
2.63E-08,1750294853,1.97E-08,1750294853,1.42E-01
2.61E-08,1750294853,1.96E-08,1750294853,1.41E-01
2.57E-08,1750294853,1.95E-08,1750294853,1.36E-01
