Trial 3 power 1 (W),time (seconds since jan 1 1975),Trial 3 power 2 (W),time (seconds since jan 1 1975),Sdifference
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367009,3.47E-05,1750367009,-2.44E-01
2.12E-05,1750367009,3.47E-05,1750367009,-2.42E-01
2.12E-05,1750367009,3.47E-05,1750367009,-2.42E-01
2.12E-05,1750367010,3.47E-05,1750367009,-2.42E-01
2.12E-05,1750367010,3.47E-05,1750367009,-2.42E-01
2.11E-05,1750367010,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367010,3.47E-05,1750367009,-2.44E-01
2.11E-05,1750367010,3.47E-05,1750367010,-2.44E-01
2.11E-05,1750367010,3.47E-05,1750367010,-2.44E-01
2.11E-05,1750367010,3.47E-05,1750367010,-2.44E-01
2.10E-05,1750367010,3.48E-05,1750367010,-2.47E-01
2.10E-05,1750367010,3.48E-05,1750367010,-2.47E-01
2.10E-05,1750367010,3.48E-05,1750367010,-2.47E-01
2.10E-05,1750367010,3.48E-05,1750367010,-2.47E-01
2.10E-05,1750367010,3.48E-05,1750367010,-2.47E-01
2.10E-05,1750367010,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367010,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367010,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367010,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.49E-05,1750367011,-2.49E-01
2.10E-05,1750367011,3.50E-05,1750367011,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367011,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367011,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367011,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367011,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.50E-05,1750367012,-2.50E-01
2.10E-05,1750367012,3.49E-05,1750367012,-2.49E-01
2.10E-05,1750367012,3.49E-05,1750367012,-2.49E-01
2.09E-05,1750367013,3.49E-05,1750367012,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367012,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367012,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367012,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367013,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367013,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367013,-2.51E-01
2.09E-05,1750367013,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367013,3.49E-05,1750367013,-2.51E-01
2.09E-05,1750367013,3.49E-05,1750367013,-2.51E-01
2.09E-05,1750367013,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367013,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367013,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367013,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367013,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367014,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367014,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367014,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367014,3.50E-05,1750367013,-2.52E-01
2.09E-05,1750367014,3.50E-05,1750367014,-2.52E-01
2.09E-05,1750367014,3.50E-05,1750367014,-2.52E-01
2.10E-05,1750367014,3.50E-05,1750367014,-2.50E-01
2.10E-05,1750367014,3.50E-05,1750367014,-2.50E-01
2.10E-05,1750367014,3.50E-05,1750367014,-2.50E-01
2.10E-05,1750367014,3.50E-05,1750367014,-2.50E-01
2.11E-05,1750367014,3.50E-05,1750367014,-2.48E-01
2.11E-05,1750367014,3.49E-05,1750367014,-2.46E-01
2.10E-05,1750367014,3.49E-05,1750367014,-2.49E-01
2.10E-05,1750367014,3.49E-05,1750367014,-2.49E-01
2.10E-05,1750367014,3.48E-05,1750367014,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367014,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367014,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367014,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367014,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367015,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367015,-2.47E-01
2.10E-05,1750367015,3.48E-05,1750367015,-2.47E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367015,3.48E-05,1750367015,-2.47E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367015,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367016,3.48E-05,1750367015,-2.47E-01
2.10E-05,1750367016,3.49E-05,1750367015,-2.49E-01
2.10E-05,1750367016,3.49E-05,1750367015,-2.49E-01
2.09E-05,1750367016,3.49E-05,1750367016,-2.51E-01
2.09E-05,1750367016,3.49E-05,1750367016,-2.51E-01
2.09E-05,1750367016,3.49E-05,1750367016,-2.51E-01
2.09E-05,1750367016,3.49E-05,1750367016,-2.51E-01
2.09E-05,1750367016,3.49E-05,1750367016,-2.51E-01
2.09E-05,1750367016,3.50E-05,1750367016,-2.52E-01
2.09E-05,1750367016,3.50E-05,1750367016,-2.52E-01
2.09E-05,1750367016,3.50E-05,1750367016,-2.52E-01
2.09E-05,1750367016,3.50E-05,1750367016,-2.52E-01
2.09E-05,1750367016,3.50E-05,1750367016,-2.52E-01
2.09E-05,1750367016,3.50E-05,1750367016,-2.52E-01
