Time Stamp [s],Stokes 1,Stokes 2,Stokes 3,Azimuth [],Ellipticity [],Power Split Ratio,Phase Difference [],DOP [%],Power [dBm],Power [W]
1.14E+00,4.44E-01,-2.71E-01,8.54E-01,-1.57E+01,2.93E+01,7.22E-01,1.08E+02,3.06E+01,-3.11E+01,7.84E-07
1.17E+00,4.44E-01,-2.71E-01,8.54E-01,-1.57E+01,2.93E+01,7.22E-01,1.08E+02,3.06E+01,-3.11E+01,7.84E-07
1.20E+00,4.43E-01,-2.70E-01,8.55E-01,-1.57E+01,2.94E+01,7.22E-01,1.08E+02,3.06E+01,-3.11E+01,7.83E-07
1.23E+00,4.41E-01,-2.70E-01,8.56E-01,-1.58E+01,2.94E+01,7.20E-01,1.08E+02,3.06E+01,-3.11E+01,7.83E-07
1.26E+00,4.39E-01,-2.72E-01,8.57E-01,-1.59E+01,2.95E+01,7.19E-01,1.08E+02,3.06E+01,-3.11E+01,7.82E-07
1.29E+00,4.39E-01,-2.70E-01,8.57E-01,-1.58E+01,2.95E+01,7.20E-01,1.07E+02,3.08E+01,-3.11E+01,7.83E-07
1.32E+00,4.39E-01,-2.67E-01,8.58E-01,-1.57E+01,2.96E+01,7.19E-01,1.07E+02,3.09E+01,-3.11E+01,7.83E-07
1.35E+00,4.38E-01,-2.65E-01,8.59E-01,-1.56E+01,2.96E+01,7.19E-01,1.07E+02,3.10E+01,-3.11E+01,7.82E-07
1.38E+00,4.38E-01,-2.65E-01,8.59E-01,-1.56E+01,2.96E+01,7.19E-01,1.07E+02,3.13E+01,-3.11E+01,7.83E-07
1.41E+00,4.36E-01,-2.59E-01,8.62E-01,-1.54E+01,2.98E+01,7.18E-01,1.07E+02,3.13E+01,-3.11E+01,7.82E-07
1.44E+00,4.39E-01,-2.57E-01,8.61E-01,-1.52E+01,2.97E+01,7.20E-01,1.07E+02,3.14E+01,-3.11E+01,7.82E-07
1.47E+00,4.40E-01,-2.55E-01,8.61E-01,-1.51E+01,2.97E+01,7.20E-01,1.07E+02,3.15E+01,-3.11E+01,7.82E-07
1.50E+00,4.42E-01,-2.54E-01,8.60E-01,-1.49E+01,2.97E+01,7.21E-01,1.06E+02,3.15E+01,-3.11E+01,7.82E-07
1.53E+00,4.42E-01,-2.56E-01,8.60E-01,-1.50E+01,2.97E+01,7.21E-01,1.07E+02,3.14E+01,-3.11E+01,7.82E-07
1.56E+00,4.41E-01,-2.58E-01,8.60E-01,-1.52E+01,2.97E+01,7.20E-01,1.07E+02,3.14E+01,-3.11E+01,7.83E-07
1.59E+00,4.40E-01,-2.56E-01,8.60E-01,-1.51E+01,2.97E+01,7.20E-01,1.07E+02,3.13E+01,-3.11E+01,7.82E-07
1.62E+00,4.39E-01,-2.63E-01,8.59E-01,-1.55E+01,2.96E+01,7.19E-01,1.07E+02,3.12E+01,-3.11E+01,7.83E-07
1.65E+00,4.39E-01,-2.62E-01,8.60E-01,-1.54E+01,2.96E+01,7.19E-01,1.07E+02,3.12E+01,-3.11E+01,7.82E-07
1.68E+00,4.36E-01,-2.63E-01,8.61E-01,-1.56E+01,2.97E+01,7.18E-01,1.07E+02,3.12E+01,-3.11E+01,7.82E-07
1.71E+00,4.35E-01,-2.64E-01,8.61E-01,-1.56E+01,2.97E+01,7.18E-01,1.07E+02,3.13E+01,-3.11E+01,7.82E-07
1.74E+00,4.35E-01,-2.63E-01,8.61E-01,-1.56E+01,2.97E+01,7.17E-01,1.07E+02,3.13E+01,-3.11E+01,7.83E-07
1.77E+00,4.35E-01,-2.61E-01,8.62E-01,-1.55E+01,2.98E+01,7.17E-01,1.07E+02,3.14E+01,-3.11E+01,7.83E-07
1.80E+00,4.37E-01,-2.57E-01,8.62E-01,-1.52E+01,2.98E+01,7.19E-01,1.07E+02,3.16E+01,-3.11E+01,7.83E-07
1.83E+00,4.38E-01,-2.55E-01,8.62E-01,-1.51E+01,2.98E+01,7.19E-01,1.06E+02,3.17E+01,-3.11E+01,7.83E-07
1.86E+00,4.37E-01,-2.53E-01,8.63E-01,-1.50E+01,2.98E+01,7.19E-01,1.06E+02,3.16E+01,-3.11E+01,7.83E-07
1.89E+00,4.37E-01,-2.56E-01,8.62E-01,-1.52E+01,2.98E+01,7.18E-01,1.07E+02,3.17E+01,-3.11E+01,7.83E-07
1.92E+00,4.39E-01,-2.56E-01,8.61E-01,-1.52E+01,2.97E+01,7.19E-01,1.07E+02,3.16E+01,-3.11E+01,7.84E-07
1.95E+00,4.40E-01,-2.55E-01,8.61E-01,-1.50E+01,2.97E+01,7.20E-01,1.06E+02,3.16E+01,-3.11E+01,7.83E-07
1.98E+00,4.39E-01,-2.58E-01,8.61E-01,-1.52E+01,2.97E+01,7.20E-01,1.07E+02,3.15E+01,-3.11E+01,7.84E-07
2.01E+00,4.40E-01,-2.61E-01,8.59E-01,-1.53E+01,2.96E+01,7.20E-01,1.07E+02,3.14E+01,-3.11E+01,7.84E-07
2.04E+00,4.38E-01,-2.62E-01,8.60E-01,-1.54E+01,2.97E+01,7.19E-01,1.07E+02,3.13E+01,-3.11E+01,7.84E-07
2.07E+00,4.37E-01,-2.63E-01,8.60E-01,-1.55E+01,2.97E+01,7.19E-01,1.07E+02,3.11E+01,-3.11E+01,7.84E-07
2.10E+00,4.37E-01,-2.69E-01,8.59E-01,-1.58E+01,2.96E+01,7.18E-01,1.07E+02,3.10E+01,-3.11E+01,7.85E-07
2.13E+00,4.36E-01,-2.73E-01,8.58E-01,-1.60E+01,2.95E+01,7.18E-01,1.08E+02,3.10E+01,-3.11E+01,7.85E-07
2.16E+00,4.33E-01,-2.78E-01,8.58E-01,-1.63E+01,2.95E+01,7.16E-01,1.08E+02,3.09E+01,-3.10E+01,7.86E-07
2.19E+00,4.32E-01,-2.75E-01,8.59E-01,-1.62E+01,2.96E+01,7.16E-01,1.08E+02,3.08E+01,-3.11E+01,7.85E-07
2.22E+00,4.31E-01,-2.81E-01,8.57E-01,-1.66E+01,2.95E+01,7.16E-01,1.08E+02,3.06E+01,-3.10E+01,7.85E-07
2.25E+00,4.32E-01,-2.83E-01,8.56E-01,-1.66E+01,2.94E+01,7.16E-01,1.08E+02,3.05E+01,-3.10E+01,7.86E-07
2.28E+00,4.29E-01,-2.86E-01,8.57E-01,-1.68E+01,2.95E+01,7.14E-01,1.08E+02,3.04E+01,-3.10E+01,7.86E-07
2.31E+00,4.28E-01,-2.88E-01,8.57E-01,-1.70E+01,2.95E+01,7.14E-01,1.09E+02,3.02E+01,-3.10E+01,7.86E-07
2.34E+00,4.31E-01,-2.87E-01,8.55E-01,-1.68E+01,2.94E+01,7.16E-01,1.09E+02,3.02E+01,-3.11E+01,7.85E-07
2.37E+00,4.29E-01,-2.91E-01,8.55E-01,-1.71E+01,2.94E+01,7.15E-01,1.09E+02,3.01E+01,-3.10E+01,7.85E-07
2.40E+00,4.29E-01,-2.93E-01,8.54E-01,-1.72E+01,2.93E+01,7.15E-01,1.09E+02,3.00E+01,-3.11E+01,7.85E-07
2.43E+00,4.30E-01,-2.93E-01,8.54E-01,-1.71E+01,2.93E+01,7.15E-01,1.09E+02,2.99E+01,-3.11E+01,7.85E-07
2.46E+00,4.29E-01,-2.92E-01,8.55E-01,-1.71E+01,2.94E+01,7.15E-01,1.09E+02,2.99E+01,-3.11E+01,7.84E-07
2.49E+00,4.32E-01,-2.94E-01,8.53E-01,-1.71E+01,2.93E+01,7.16E-01,1.09E+02,3.00E+01,-3.11E+01,7.85E-07
2.52E+00,4.29E-01,-2.94E-01,8.54E-01,-1.72E+01,2.93E+01,7.14E-01,1.09E+02,2.99E+01,-3.11E+01,7.85E-07
2.55E+00,4.27E-01,-2.94E-01,8.55E-01,-1.73E+01,2.94E+01,7.14E-01,1.09E+02,2.99E+01,-3.11E+01,7.84E-07
2.58E+00,4.31E-01,-2.93E-01,8.54E-01,-1.71E+01,2.93E+01,7.16E-01,1.09E+02,2.99E+01,-3.11E+01,7.84E-07
2.61E+00,4.29E-01,-2.99E-01,8.52E-01,-1.74E+01,2.92E+01,7.15E-01,1.09E+02,2.99E+01,-3.10E+01,7.85E-07
2.64E+00,4.27E-01,-2.96E-01,8.55E-01,-1.74E+01,2.94E+01,7.13E-01,1.09E+02,2.99E+01,-3.11E+01,7.85E-07
2.67E+00,4.30E-01,-2.96E-01,8.53E-01,-1.73E+01,2.93E+01,7.15E-01,1.09E+02,3.00E+01,-3.11E+01,7.85E-07
2.70E+00,4.29E-01,-2.98E-01,8.53E-01,-1.74E+01,2.93E+01,7.14E-01,1.09E+02,3.00E+01,-3.10E+01,7.86E-07
2.73E+00,4.24E-01,-2.98E-01,8.55E-01,-1.75E+01,2.94E+01,7.12E-01,1.09E+02,2.99E+01,-3.10E+01,7.86E-07
2.76E+00,4.28E-01,-2.96E-01,8.54E-01,-1.73E+01,2.93E+01,7.14E-01,1.09E+02,3.00E+01,-3.10E+01,7.85E-07
2.79E+00,4.26E-01,-2.95E-01,8.55E-01,-1.73E+01,2.94E+01,7.13E-01,1.09E+02,3.01E+01,-3.10E+01,7.85E-07
2.82E+00,4.25E-01,-2.95E-01,8.56E-01,-1.74E+01,2.94E+01,7.13E-01,1.09E+02,3.02E+01,-3.10E+01,7.86E-07
2.85E+00,4.24E-01,-2.94E-01,8.57E-01,-1.74E+01,2.95E+01,7.12E-01,1.09E+02,3.02E+01,-3.11E+01,7.85E-07
2.88E+00,4.27E-01,-2.93E-01,8.55E-01,-1.72E+01,2.94E+01,7.13E-01,1.09E+02,3.03E+01,-3.11E+01,7.85E-07
2.91E+00,4.27E-01,-2.92E-01,8.56E-01,-1.72E+01,2.94E+01,7.14E-01,1.09E+02,3.04E+01,-3.11E+01,7.85E-07
2.94E+00,4.25E-01,-2.87E-01,8.58E-01,-1.70E+01,2.96E+01,7.13E-01,1.09E+02,3.05E+01,-3.11E+01,7.85E-07
2.97E+00,4.25E-01,-2.86E-01,8.59E-01,-1.70E+01,2.96E+01,7.13E-01,1.08E+02,3.06E+01,-3.11E+01,7.85E-07
3.00E+00,4.25E-01,-2.88E-01,8.58E-01,-1.71E+01,2.96E+01,7.13E-01,1.09E+02,3.06E+01,-3.11E+01,7.84E-07
3.03E+00,4.21E-01,-2.84E-01,8.61E-01,-1.70E+01,2.97E+01,7.11E-01,1.08E+02,3.07E+01,-3.11E+01,7.84E-07
3.06E+00,4.23E-01,-2.86E-01,8.60E-01,-1.70E+01,2.97E+01,7.11E-01,1.08E+02,3.08E+01,-3.11E+01,7.84E-07
3.09E+00,4.25E-01,-2.85E-01,8.59E-01,-1.69E+01,2.96E+01,7.13E-01,1.08E+02,3.10E+01,-3.11E+01,7.84E-07
3.12E+00,4.22E-01,-2.82E-01,8.62E-01,-1.69E+01,2.98E+01,7.11E-01,1.08E+02,3.10E+01,-3.11E+01,7.84E-07
3.15E+00,4.24E-01,-2.79E-01,8.62E-01,-1.67E+01,2.98E+01,7.12E-01,1.08E+02,3.11E+01,-3.11E+01,7.83E-07
3.18E+00,4.22E-01,-2.78E-01,8.63E-01,-1.67E+01,2.98E+01,7.11E-01,1.08E+02,3.11E+01,-3.11E+01,7.83E-07
3.21E+00,4.23E-01,-2.77E-01,8.63E-01,-1.66E+01,2.98E+01,7.11E-01,1.08E+02,3.12E+01,-3.11E+01,7.83E-07
3.24E+00,4.22E-01,-2.75E-01,8.64E-01,-1.65E+01,2.99E+01,7.11E-01,1.08E+02,3.12E+01,-3.11E+01,7.83E-07
3.27E+00,4.24E-01,-2.74E-01,8.63E-01,-1.64E+01,2.98E+01,7.12E-01,1.08E+02,3.14E+01,-3.11E+01,7.82E-07
3.30E+00,4.22E-01,-2.73E-01,8.65E-01,-1.64E+01,2.99E+01,7.11E-01,1.08E+02,3.13E+01,-3.11E+01,7.83E-07
3.33E+00,4.22E-01,-2.71E-01,8.65E-01,-1.64E+01,2.99E+01,7.11E-01,1.07E+02,3.14E+01,-3.11E+01,7.83E-07
3.36E+00,4.17E-01,-2.72E-01,8.67E-01,-1.65E+01,3.01E+01,7.09E-01,1.07E+02,3.14E+01,-3.11E+01,7.83E-07
3.39E+00,4.22E-01,-2.71E-01,8.65E-01,-1.63E+01,3.00E+01,7.11E-01,1.07E+02,3.15E+01,-3.11E+01,7.83E-07
3.42E+00,4.20E-01,-2.71E-01,8.66E-01,-1.64E+01,3.00E+01,7.10E-01,1.07E+02,3.15E+01,-3.11E+01,7.82E-07
3.45E+00,4.21E-01,-2.67E-01,8.67E-01,-1.62E+01,3.00E+01,7.11E-01,1.07E+02,3.14E+01,-3.11E+01,7.82E-07
3.48E+00,4.20E-01,-2.71E-01,8.66E-01,-1.64E+01,3.00E+01,7.10E-01,1.07E+02,3.14E+01,-3.11E+01,7.82E-07
3.51E+00,4.20E-01,-2.71E-01,8.66E-01,-1.64E+01,3.00E+01,7.10E-01,1.07E+02,3.14E+01,-3.11E+01,7.81E-07
3.54E+00,4.22E-01,-2.71E-01,8.65E-01,-1.64E+01,3.00E+01,7.11E-01,1.07E+02,3.14E+01,-3.11E+01,7.81E-07
3.57E+00,4.20E-01,-2.72E-01,8.66E-01,-1.65E+01,3.00E+01,7.10E-01,1.07E+02,3.14E+01,-3.11E+01,7.81E-07
3.60E+00,4.21E-01,-2.75E-01,8.64E-01,-1.65E+01,2.99E+01,7.11E-01,1.08E+02,3.13E+01,-3.11E+01,7.82E-07
3.63E+00,4.18E-01,-2.76E-01,8.65E-01,-1.67E+01,3.00E+01,7.09E-01,1.08E+02,3.12E+01,-3.11E+01,7.82E-07
3.66E+00,4.15E-01,-2.80E-01,8.66E-01,-1.70E+01,3.00E+01,7.07E-01,1.08E+02,3.11E+01,-3.11E+01,7.82E-07
3.69E+00,4.19E-01,-2.78E-01,8.64E-01,-1.68E+01,2.99E+01,7.10E-01,1.08E+02,3.11E+01,-3.11E+01,7.82E-07
3.72E+00,4.17E-01,-2.82E-01,8.64E-01,-1.70E+01,2.99E+01,7.08E-01,1.08E+02,3.10E+01,-3.11E+01,7.83E-07
3.75E+00,4.17E-01,-2.82E-01,8.64E-01,-1.70E+01,2.99E+01,7.08E-01,1.08E+02,3.10E+01,-3.11E+01,7.83E-07
3.78E+00,4.18E-01,-2.83E-01,8.64E-01,-1.70E+01,2.99E+01,7.09E-01,1.08E+02,3.09E+01,-3.11E+01,7.83E-07
3.81E+00,4.16E-01,-2.86E-01,8.63E-01,-1.72E+01,2.98E+01,7.08E-01,1.08E+02,3.09E+01,-3.11E+01,7.84E-07
3.84E+00,4.16E-01,-2.86E-01,8.63E-01,-1.72E+01,2.98E+01,7.08E-01,1.08E+02,3.08E+01,-3.11E+01,7.84E-07
3.87E+00,4.16E-01,-2.88E-01,8.62E-01,-1.73E+01,2.98E+01,7.08E-01,1.08E+02,3.07E+01,-3.11E+01,7.84E-07
3.90E+00,4.16E-01,-2.93E-01,8.61E-01,-1.76E+01,2.97E+01,7.08E-01,1.09E+02,3.05E+01,-3.11E+01,7.84E-07
3.93E+00,4.17E-01,-2.93E-01,8.61E-01,-1.75E+01,2.97E+01,7.08E-01,1.09E+02,3.04E+01,-3.11E+01,7.84E-07
3.96E+00,4.19E-01,-2.95E-01,8.59E-01,-1.76E+01,2.96E+01,7.10E-01,1.09E+02,3.04E+01,-3.11E+01,7.84E-07
3.99E+00,4.15E-01,-2.97E-01,8.60E-01,-1.78E+01,2.97E+01,7.07E-01,1.09E+02,3.02E+01,-3.11E+01,7.85E-07
4.02E+00,4.15E-01,-2.96E-01,8.60E-01,-1.78E+01,2.97E+01,7.07E-01,1.09E+02,3.02E+01,-3.11E+01,7.84E-07
4.05E+00,4.16E-01,-3.00E-01,8.59E-01,-1.79E+01,2.96E+01,7.08E-01,1.09E+02,3.01E+01,-3.11E+01,7.84E-07
4.08E+00,4.16E-01,-2.99E-01,8.59E-01,-1.79E+01,2.96E+01,7.08E-01,1.09E+02,3.01E+01,-3.11E+01,7.84E-07
4.11E+00,4.14E-01,-3.04E-01,8.58E-01,-1.81E+01,2.95E+01,7.07E-01,1.10E+02,3.00E+01,-3.10E+01,7.85E-07
