Difference,Equation,alpha(rad),beta(rad),gamma(rad),R^2,Linear?
0.0,Not linear,0.0,0.0,0.0,0.0000,False
0.0,Not linear,0.0,0.054165390579134366,0.0,0.0000,False
0.0,Not linear,0.0,0.10833078115826873,0.0,-0.0000,False
0.0,Not linear,0.0,0.1624961717374031,0.0,0.0000,False
0.0,Not linear,0.0,0.21666156231653746,0.0,0.0000,False
0.0,Not linear,0.0,0.2708269528956718,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.3249923434748062,0.0,0.0000,False
-3.3306690738754696e-16,Not linear,0.0,0.37915773405394054,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.43332312463307493,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.4874885152122093,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,0.5416539057913436,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.595819296370478,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.6499846869496124,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.7041500775287468,0.0,-0.0000,False
-2.220446049250313e-16,Not linear,0.0,0.7583154681078811,0.0,0.0000,False
1.6653345369377348e-16,Not linear,0.0,0.8124808586870155,0.0,-0.0000,False
8.326672684688674e-17,Not linear,0.0,0.8666462492661499,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.9208116398452842,0.0,0.0000,False
2.220446049250313e-16,Not linear,0.0,0.9749770304244186,0.0,0.0000,False
2.220446049250313e-16,Not linear,0.0,1.029142421003553,0.0,0.0000,False
3.3306690738754696e-16,Not linear,0.0,1.0833078115826873,0.0,0.0000,False
0.0,Not linear,0.0,1.1374732021618217,0.0,0.0000,False
3.3306690738754696e-16,Not linear,0.0,1.191638592740956,0.0,0.0000,False
0.0,Not linear,0.0,1.2458039833200905,0.0,0.0000,False
2.220446049250313e-16,Not linear,0.0,1.2999693738992248,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,1.3541347644783592,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,1.4083001550574936,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,1.4624655456366278,0.0,0.0000,False
0.0,Not linear,0.0,1.5166309362157622,0.0,0.0000,False
0.0,Not linear,0.0,1.5707963267948966,0.0,0.0000,False
0.0,Not linear,0.0,0.0,0.054165390579134366,0.0000,False
0.014322471532121517,Not linear,0.0,0.054165390579134366,0.054165390579134366,0.9879,False
0.028477025180689175,Not linear,0.0,0.10833078115826873,0.054165390579134366,0.9879,False
0.0422977117458061,Not linear,0.0,0.1624961717374031,0.054165390579134366,0.9879,False
0.05562249631386984,Not linear,0.0,0.21666156231653746,0.054165390579134366,0.9879,False
0.06829515796878671,Not linear,0.0,0.2708269528956718,0.054165390579134366,0.9879,False
0.08016712133937842,Not linear,0.0,0.3249923434748062,0.054165390579134366,0.9879,False
0.09109919850976356,Not linear,0.0,0.37915773405394054,0.054165390579134366,0.9879,False
0.1009632208704132,Not linear,0.0,0.43332312463307493,0.054165390579134366,0.9879,False
0.10964354177791064,Not linear,0.0,0.4874885152122093,0.054165390579134366,0.9879,False
0.11703839240610842,Not linear,0.0,0.5416539057913436,0.054165390579134366,0.9879,False
0.12306107489256674,Not linear,0.0,0.595819296370478,0.054165390579134366,0.9879,False
0.12764097879172367,Not linear,0.0,0.6499846869496124,0.054165390579134366,0.9879,False
0.13072440891780784,Not linear,0.0,0.7041500775287468,0.054165390579134366,0.9879,False
0.034565319004112985,Not linear,0.0,0.7583154681078811,0.054165390579134366,0.1774,False
-0.13227521487179755,Not linear,0.0,0.8124808586870155,0.054165390579134366,0.9879,False
-0.13072440891780757,Not linear,0.0,0.8666462492661499,0.054165390579134366,0.9879,False
-0.12764097879172387,Not linear,0.0,0.9208116398452842,0.054165390579134366,0.9879,False
-0.12306107489256679,Not linear,0.0,0.9749770304244186,0.054165390579134366,0.9879,False
-0.1170383924061082,Not linear,0.0,1.029142421003553,0.054165390579134366,0.9879,False
-0.10964354177791058,Not linear,0.0,1.0833078115826873,0.054165390579134366,0.9879,False
-0.1009632208704132,Not linear,0.0,1.1374732021618217,0.054165390579134366,0.9879,False
-0.09109919850976356,Not linear,0.0,1.191638592740956,0.054165390579134366,0.9879,False
-0.0801671213393782,Not linear,0.0,1.2458039833200905,0.054165390579134366,0.9879,False
-0.06829515796878682,Not linear,0.0,1.2999693738992248,0.054165390579134366,0.9879,False
-0.05562249631386962,Not linear,0.0,1.3541347644783592,0.054165390579134366,0.9879,False
-0.0422977117458061,Not linear,0.0,1.4083001550574936,0.054165390579134366,0.9879,False
-0.028477025180689508,Not linear,0.0,1.4624655456366278,0.054165390579134366,0.9879,False
-0.014322471532121517,Not linear,0.0,1.5166309362157622,0.054165390579134366,0.9879,False
0.0,Not linear,0.0,1.5707963267948966,0.054165390579134366,0.0000,False
0.0,Not linear,0.0,0.0,0.10833078115826873,-0.0000,False
0.028477025180689175,Not linear,0.0,0.054165390579134366,0.10833078115826873,0.9879,False
0.056620183277927394,Not linear,0.0,0.10833078115826873,0.10833078115826873,0.9879,False
0.08409952149455902,Not linear,0.0,0.1624961717374031,0.10833078115826873,0.9879,False
0.11059286971459281,Not linear,0.0,0.21666156231653746,0.10833078115826873,0.9879,False
0.13578961765324826,Not linear,0.0,0.2708269528956718,0.10833078115826873,0.9879,False
0.15939435647855027,Not linear,0.0,0.3249923434748062,0.10833078115826873,0.9879,False
0.1811303422097913,Not linear,0.0,0.37915773405394054,0.10833078115826873,0.9879,False
0.2007427402876742,Not linear,0.0,0.43332312463307493,0.10833078115826873,0.9879,False
0.21800161327652162,Not linear,0.0,0.4874885152122093,0.10833078115826873,0.9879,False
0.23270461667047765,Not linear,0.0,0.5416539057913436,0.10833078115826873,0.9879,False
0.24467937119783204,Not linear,0.0,0.595819296370478,0.10833078115826873,0.9879,False
0.25378548381037475,Not linear,0.0,0.6499846869496124,0.10833078115826873,0.9879,False
0.17240397405919056,Not linear,0.0,0.7041500775287468,0.10833078115826873,0.8418,False
-0.03955242592455943,Not linear,0.0,0.7583154681078811,0.10833078115826873,0.4030,False
-0.25104510987747164,Not linear,0.0,0.8124808586870155,0.10833078115826873,0.9882,False
-0.25991619366352126,Not linear,0.0,0.8666462492661499,0.10833078115826873,0.9879,False
-0.2537854838103747,Not linear,0.0,0.9208116398452842,0.10833078115826873,0.9879,False
-0.24467937119783212,Not linear,0.0,0.9749770304244186,0.10833078115826873,0.9879,False
-0.23270461667047737,Not linear,0.0,1.029142421003553,0.10833078115826873,0.9879,False
-0.21800161327652146,Not linear,0.0,1.0833078115826873,0.10833078115826873,0.9879,False
-0.20074274028767403,Not linear,0.0,1.1374732021618217,0.10833078115826873,0.9879,False
-0.18113034220979174,Not linear,0.0,1.191638592740956,0.10833078115826873,0.9879,False
-0.1593943564785505,Not linear,0.0,1.2458039833200905,0.10833078115826873,0.9879,False
-0.13578961765324804,Not linear,0.0,1.2999693738992248,0.10833078115826873,0.9879,False
-0.11059286971459281,Not linear,0.0,1.3541347644783592,0.10833078115826873,0.9879,False
-0.08409952149455902,Not linear,0.0,1.4083001550574936,0.10833078115826873,0.9879,False
-0.056620183277927394,Not linear,0.0,1.4624655456366278,0.10833078115826873,0.9879,False
-0.028477025180689397,Not linear,0.0,1.5166309362157622,0.10833078115826873,0.9879,False
1.1102230246251565e-16,Not linear,0.0,1.5707963267948966,0.10833078115826873,0.0000,False
0.0,Not linear,0.0,0.0,0.1624961717374031,0.0000,False
0.0422977117458061,Not linear,0.0,0.054165390579134366,0.1624961717374031,0.9879,False
0.08409952149455902,Not linear,0.0,0.10833078115826873,0.1624961717374031,0.9879,False
0.12491534124671433,Not linear,0.0,0.1624961717374031,0.1624961717374031,0.9879,False
0.16426664283393744,Not linear,0.0,0.21666156231653746,0.1624961717374031,0.9879,False
0.20169206822435637,Not linear,0.0,0.2708269528956718,0.1624961717374031,0.9879,False
0.23675283852366125,Not linear,0.0,0.3249923434748062,0.1624961717374031,0.9879,False
0.26903789825646096,Not linear,0.0,0.37915773405394054,0.1624961717374031,0.9879,False
0.2981687346158999,Not linear,0.0,0.43332312463307493,0.1624961717374031,0.9879,False
0.3238038151802412,Not linear,0.0,0.4874885152122093,0.1624961717374031,0.9879,False
0.3456425920682456,Not linear,0.0,0.5416539057913436,0.1624961717374031,0.9879,False
