Time[date hh:mm:ss], Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] ,
49:20.3,0.00:07:35:660,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002874,-0.004663,-84.43,-8.7,66.45,19.87,63.41,0.02346,0.01559,0.007872,-16.296,-18.072,-21.039,0.03,-121.65,
49:20.3,0.00:07:35:684,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002873,-0.004669,-84.43,-8.71,66.46,19.9,63.41,0.02346,0.01559,0.007869,-16.297,-18.071,-21.041,0.03,-121.61,
49:20.3,0.00:07:35:713,-0.94,-0.18,-0.3,0.02347,-0.0146,-0.002878,-0.004675,-84.42,-8.72,66.46,19.92,63.41,0.02347,0.0156,0.007869,-16.296,-18.07,-21.041,0.03,-121.62,
49:20.4,0.00:07:35:751,-0.94,-0.19,-0.3,0.02347,-0.0146,-0.002888,-0.004679,-84.41,-8.73,66.5,19.94,63.44,0.02347,0.0156,0.007862,-16.296,-18.068,-21.045,0.03,-121.68,
49:20.2,0.00:07:35:547,-0.94,-0.18,-0.3,0.02347,-0.01461,-0.002856,-0.004644,-84.47,-8.66,66.44,19.79,63.42,0.02347,0.01559,0.007876,-16.295,-18.071,-21.037,0.03,-121.59,
49:20.2,0.00:07:35:579,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002858,-0.004651,-84.46,-8.68,66.44,19.82,63.42,0.02346,0.01559,0.007874,-16.296,-18.072,-21.038,0.03,-121.57,
49:20.2,0.00:07:35:617,-0.94,-0.18,-0.3,0.02347,-0.0146,-0.002865,-0.004654,-84.45,-8.68,66.45,19.83,63.42,0.02347,0.01559,0.007874,-16.295,-18.071,-21.038,0.03,-121.61,
49:20.3,0.00:07:35:660,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002874,-0.004663,-84.43,-8.7,66.45,19.87,63.41,0.02346,0.01559,0.007872,-16.296,-18.072,-21.039,0.03,-121.65,
49:20.3,0.00:07:35:684,-0.94,-0.18,-0.3,0.02346,-0.0146,-0.002873,-0.004669,-84.43,-8.71,66.46,19.9,63.41,0.02346,0.01559,0.007869,-16.297,-18.071,-21.041,0.03,-121.61,
49:20.3,0.00:07:35:713,-0.94,-0.18,-0.3,0.02347,-0.0146,-0.002878,-0.004675,-84.42,-8.72,66.46,19.92,63.41,0.02347,0.0156,0.007869,-16.296,-18.07,-21.041,0.03,-121.62,
49:20.4,0.00:07:35:751,-0.94,-0.19,-0.3,0.02347,-0.0146,-0.002888,-0.004679,-84.41,-8.73,66.5,19.94,63.44,0.02347,0.0156,0.007862,-16.296,-18.068,-21.045,0.03,-121.68,
49:20.4,0.00:07:35:751,-0.94,-0.19,-0.3,0.02347,-0.0146,-0.002888,-0.004679,-84.41,-8.73,66.5,19.94,63.44,0.02347,0.0156,0.007862,-16.296,-18.068,-21.045,0.03,-121.68,
