Time[date hh:mm:ss], Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] ,
49:17.4,0.00:07:32:762,-0.94,-0.21,-0.26,0.02519,-0.01394,-0.003056,-0.003895,-83.82,-7.63,58.71,15.46,56.64,0.02519,0.01479,0.0104,-15.987,-18.3,-19.829,0.03,-128.11,
49:17.4,0.00:07:32:793,-0.94,-0.2,-0.26,0.02536,-0.01421,-0.003015,-0.003913,-84.01,-7.54,59.32,15.43,57.28,0.02536,0.01504,0.01032,-15.958,-18.226,-19.865,0.03,-127.62,
49:17.5,0.00:07:32:840,-0.95,-0.19,-0.26,0.02543,-0.01419,-0.00281,-0.003943,-84.4,-7.62,58.94,15.5,56.86,0.02543,0.01499,0.01044,-15.946,-18.242,-19.811,0.03,-125.48,
49:17.5,0.00:07:32:871,-0.94,-0.19,-0.29,0.0249,-0.01376,-0.002766,-0.004322,-84.32,-8.56,58.97,17.36,56.36,0.0249,0.01468,0.01022,-16.038,-18.332,-19.907,0.03,-122.62,
49:17.5,0.00:07:32:902,-0.94,-0.21,-0.27,0.02457,-0.01509,-0.003298,-0.004264,-83.84,-7.72,65.22,17.36,62.87,0.02457,0.01603,0.008546,-16.096,-17.952,-20.683,0.03,-127.72,
49:17.6,0.00:07:32:934,-0.94,-0.14,-0.32,0.02491,-0.015,-0.002275,-0.005148,-85.69,-9.37,64.32,20.67,60.91,0.02491,0.01602,0.008889,-16.036,-17.953,-20.512,0.03,-113.84,
49:17.6,0.00:07:32:965,-0.93,-0.13,-0.34,0.02475,-0.01436,-0.002077,-0.005158,-85.89,-9.79,62.22,20.84,58.63,0.02475,0.0154,0.009349,-16.065,-18.126,-20.292,0.03,-111.93,
49:17.6,0.00:07:32:996,-0.93,-0.15,-0.34,0.02473,-0.01395,-0.002298,-0.005112,-85.32,-9.94,60.77,20.67,57.15,0.02473,0.01503,0.009701,-16.068,-18.23,-20.132,0.04,-114.2,
49:17.7,0.00:07:33:027,-0.92,-0.17,-0.34,0.02485,-0.01393,-0.002524,-0.005138,-84.86,-9.98,60.58,20.67,56.95,0.02485,0.01506,0.009796,-16.046,-18.223,-20.089,0.04,-116.16,
49:17.7,0.00:07:33:074,-0.93,-0.17,-0.33,0.02501,-0.01426,-0.002546,-0.005052,-84.94,-9.61,61.35,20.2,57.93,0.02501,0.01534,0.009665,-16.019,-18.141,-20.148,0.04,-116.74,
49:17.7,0.00:07:33:106,-0.93,-0.15,-0.32,0.02503,-0.01435,-0.002382,-0.004973,-85.29,-9.43,61.42,19.87,58.12,0.02503,0.01538,0.009657,-16.015,-18.131,-20.152,0.03,-115.6,
49:17.8,0.00:07:33:137,-0.93,-0.15,-0.32,0.02494,-0.01431,-0.002353,-0.004922,-85.33,-9.37,61.42,19.74,58.16,0.02494,0.01532,0.00962,-16.032,-18.149,-20.168,0.03,-115.55,
49:17.8,0.00:07:33:168,-0.94,-0.15,-0.32,0.02489,-0.01432,-0.002301,-0.004868,-85.44,-9.28,61.46,19.56,58.26,0.02489,0.01529,0.009591,-16.04,-18.155,-20.181,0.03,-115.3,
