Difference,Equation,alpha(rad),beta(rad),gamma(rad),R^2,Linear?
0.0,Not linear,0.0,0.0,0.0,0.0000,False
0.0,Not linear,0.0,0.054165390579134366,0.0,0.0000,False
0.0,Not linear,0.0,0.10833078115826873,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,0.1624961717374031,0.0,0.0000,False
0.0,Not linear,0.0,0.21666156231653746,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.2708269528956718,0.0,0.0000,False
0.0,Not linear,0.0,0.3249923434748062,0.0,0.0000,False
0.0,Not linear,0.0,0.37915773405394054,0.0,0.0000,False
0.0,Not linear,0.0,0.43332312463307493,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,0.4874885152122093,0.0,0.0000,False
-5.551115123125783e-17,Not linear,0.0,0.5416539057913436,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.595819296370478,0.0,0.0000,False
5.551115123125783e-17,Not linear,0.0,0.6499846869496124,0.0,0.0000,False
8.326672684688674e-17,Not linear,0.0,0.7041500775287468,0.0,0.0000,False
2.0816681711721685e-16,Not linear,0.0,0.7583154681078811,0.0,0.0000,False
-4.85722573273506e-17,Not linear,0.0,0.8124808586870155,0.0,0.0000,False
-5.551115123125783e-17,Not linear,0.0,0.8666462492661499,0.0,0.0000,False
5.551115123125783e-17,Not linear,0.0,0.9208116398452842,0.0,0.0000,False
0.0,Not linear,0.0,0.9749770304244186,0.0,0.0000,False
0.0,Not linear,0.0,1.029142421003553,0.0,0.0000,False
0.0,Not linear,0.0,1.0833078115826873,0.0,0.0000,False
-2.220446049250313e-16,Not linear,0.0,1.1374732021618217,0.0,0.0000,False
0.0,Not linear,0.0,1.191638592740956,0.0,0.0000,False
0.0,Not linear,0.0,1.2458039833200905,0.0,0.0000,False
2.220446049250313e-16,Not linear,0.0,1.2999693738992248,0.0,0.0000,False
0.0,Not linear,0.0,1.3541347644783592,0.0,0.0000,False
0.0,Not linear,0.0,1.4083001550574936,0.0,0.0000,False
0.0,Not linear,0.0,1.4624655456366278,0.0,0.0000,False
0.0,Not linear,0.0,1.5166309362157622,0.0,0.0000,False
0.0,Not linear,0.0,1.5707963267948966,0.0,0.0000,False
0.0,Not linear,0.0,0.0,0.054165390579134366,0.0000,False
0.004810585471890949,Not linear,0.0,0.054165390579134366,0.054165390579134366,0.7023,False
0.009564771227484004,Not linear,0.0,0.10833078115826873,0.054165390579134366,0.7023,False
0.014206818785588604,Not linear,0.0,0.1624961717374031,0.054165390579134366,0.7023,False
0.01868230438285079,Not linear,0.0,0.21666156231653746,0.054165390579134366,0.7023,False
0.022938757042617386,Not linear,0.0,0.2708269528956718,0.054165390579134366,0.7023,False
0.02692627374916512,Not linear,0.0,0.3249923434748062,0.054165390579134366,0.7023,False
0.030598104514930502,Not linear,0.0,0.37915773405394054,0.054165390579134366,0.7023,False
0.03391120048137253,Not linear,0.0,0.43332312463307493,0.054165390579134366,0.7023,False
0.03682671862747633,Not linear,0.0,0.4874885152122093,0.054165390579134366,0.7023,False
0.039310477168663205,Not linear,0.0,0.5416539057913436,0.054165390579134366,0.7023,False
0.041333356306959224,Not linear,0.0,0.595819296370478,0.054165390579134366,0.7023,False
0.042871639634004144,Not linear,0.0,0.6499846869496124,0.054165390579134366,0.7023,False
0.04390729218425485,Not linear,0.0,0.7041500775287468,0.054165390579134366,0.7023,False
0.0444281718784648,Not linear,0.0,0.7583154681078811,0.054165390579134366,0.7023,False
0.04080577327817304,Not linear,0.0,0.8124808586870155,0.054165390579134366,0.7033,False
-0.0439072921842545,Not linear,0.0,0.8666462492661499,0.054165390579134366,0.7023,False
-0.0428716396340042,Not linear,0.0,0.9208116398452842,0.054165390579134366,0.7023,False
-0.041333356306959,Not linear,0.0,0.9749770304244186,0.054165390579134366,0.7023,False
-0.03931047716866298,Not linear,0.0,1.029142421003553,0.054165390579134366,0.7023,False
-0.036826718627476385,Not linear,0.0,1.0833078115826873,0.054165390579134366,0.7023,False
-0.03391120048137242,Not linear,0.0,1.1374732021618217,0.054165390579134366,0.7023,False
-0.030598104514930613,Not linear,0.0,1.191638592740956,0.054165390579134366,0.7023,False
-0.02692627374916534,Not linear,0.0,1.2458039833200905,0.054165390579134366,0.7023,False
-0.022938757042617608,Not linear,0.0,1.2999693738992248,0.054165390579134366,0.7023,False
-0.018682304382850567,Not linear,0.0,1.3541347644783592,0.054165390579134366,0.7023,False
-0.014206818785588715,Not linear,0.0,1.4083001550574936,0.054165390579134366,0.7023,False
-0.009564771227484004,Not linear,0.0,1.4624655456366278,0.054165390579134366,0.7023,False
-0.004810585471890949,Not linear,0.0,1.5166309362157622,0.054165390579134366,0.7023,False
0.0,Not linear,0.0,1.5707963267948966,0.054165390579134366,0.0000,False
0.0,Not linear,0.0,0.0,0.10833078115826873,0.0000,False
0.009564771227484004,Not linear,0.0,0.054165390579134366,0.10833078115826873,0.7023,False
0.019017404257479442,Not linear,0.0,0.10833078115826873,0.10833078115826873,0.7023,False
0.028247075610334793,Not linear,0.0,0.1624961717374031,0.10833078115826873,0.7023,False
0.03714557582820632,Not linear,0.0,0.21666156231653746,0.10833078115826873,0.7023,False
0.04560857813201591,Not linear,0.0,0.2708269528956718,0.10833078115826873,0.7023,False
0.05353686155754811,Not linear,0.0,0.3249923434748062,0.10833078115826873,0.7023,False
0.060837474230537536,Not linear,0.0,0.37915773405394054,0.10833078115826873,0.7023,False
0.06742482314240716,Not linear,0.0,0.43332312463307493,0.10833078115826873,0.7023,False
0.07322167765003551,Not linear,0.0,0.4874885152122093,0.10833078115826873,0.7023,False
0.07816007493443566,Not linear,0.0,0.5416539057913436,0.10833078115826873,0.7023,False
0.08218211680266779,Not linear,0.0,0.595819296370478,0.10833078115826873,0.7023,False
0.08524064849121421,Not linear,0.0,0.6499846869496124,0.10833078115826873,0.7023,False
0.0872998115124694,Not linear,0.0,0.7041500775287468,0.10833078115826873,0.7023,False
0.08833546406271994,Not linear,0.0,0.7583154681078811,0.10833078115826873,0.7023,False
0.0883354640627195,Not linear,0.0,0.8124808586870155,0.10833078115826873,0.7023,False
-0.02430240085622254,Not linear,0.0,0.8666462492661499,0.10833078115826873,0.3089,False
-0.08524064849121409,Not linear,0.0,0.9208116398452842,0.10833078115826873,0.7023,False
-0.08218211680266754,Not linear,0.0,0.9749770304244186,0.10833078115826873,0.7023,False
-0.07816007493443566,Not linear,0.0,1.029142421003553,0.10833078115826873,0.7023,False
-0.07322167765003568,Not linear,0.0,1.0833078115826873,0.10833078115826873,0.7023,False
-0.06742482314240716,Not linear,0.0,1.1374732021618217,0.10833078115826873,0.7023,False
-0.060837474230537425,Not linear,0.0,1.191638592740956,0.10833078115826873,0.7023,False
-0.05353686155754822,Not linear,0.0,1.2458039833200905,0.10833078115826873,0.7023,False
-0.04560857813201569,Not linear,0.0,1.2999693738992248,0.10833078115826873,0.7023,False
-0.03714557582820632,Not linear,0.0,1.3541347644783592,0.10833078115826873,0.7023,False
-0.028247075610334793,Not linear,0.0,1.4083001550574936,0.10833078115826873,0.7023,False
-0.019017404257479553,Not linear,0.0,1.4624655456366278,0.10833078115826873,0.7023,False
-0.009564771227484004,Not linear,0.0,1.5166309362157622,0.10833078115826873,0.7023,False
0.0,Not linear,0.0,1.5707963267948966,0.10833078115826873,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,0.0,0.1624961717374031,0.0000,False
0.014206818785588604,Not linear,0.0,0.054165390579134366,0.1624961717374031,0.7023,False
0.028247075610334682,Not linear,0.0,0.10833078115826873,0.1624961717374031,0.7023,False
0.04195616130009716,Not linear,0.0,0.1624961717374031,0.1624961717374031,0.7023,False
0.05517334935949991,Not linear,0.0,0.21666156231653746,0.1624961717374031,0.7023,False
0.06774368034313694,Not linear,0.0,0.2708269528956718,0.1624961717374031,0.7023,False
0.07951977861338799,Not linear,0.0,0.3249923434748062,0.1624961717374031,0.7023,False
0.09036358018502444,Not linear,0.0,0.37915773405394054,0.1624961717374031,0.7023,False
0.10014795139920096,Not linear,0.0,0.43332312463307493,0.1624961717374031,0.7023,False
0.10875817944936639,Not linear,0.0,0.4874885152122093,0.1624961717374031,0.7023,False
0.11609331728404015,Not linear,0.0,0.5416539057913436,0.1624961717374031,0.7023,False
0.12206736711869076,Not linear,0.0,0.595819296370478,0.1624961717374031,0.7023,False
