power 1 (W),time (seconds since jan 1 1975),power 2 (W),time (seconds since jan 1 1975),Sdifference
1.62E-09,1749502791,1.31E-09,1749502791,1.06E-01
1.62E-09,1749502791,1.31E-09,1749502791,1.06E-01
1.62E-09,1749502791,1.31E-09,1749502791,1.06E-01
1.60E-09,1749502791,1.31E-09,1749502791,9.97E-02
1.61E-09,1749502791,1.31E-09,1749502791,1.03E-01
1.61E-09,1749502791,1.31E-09,1749502791,1.03E-01
1.60E-09,1749502791,1.32E-09,1749502791,9.59E-02
1.60E-09,1749502791,1.32E-09,1749502791,9.59E-02
1.60E-09,1749502791,1.32E-09,1749502791,9.59E-02
1.59E-09,1749502791,1.32E-09,1749502791,9.28E-02
1.59E-09,1749502791,1.32E-09,1749502791,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.58E-09,1749502792,1.32E-09,1749502792,8.97E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.60E-09,1749502792,1.32E-09,1749502792,9.59E-02
1.60E-09,1749502792,1.32E-09,1749502792,9.59E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.59E-09,1749502792,1.32E-09,1749502792,9.28E-02
1.58E-09,1749502793,1.32E-09,1749502793,8.97E-02
1.58E-09,1749502793,1.32E-09,1749502793,8.97E-02
1.58E-09,1749502793,1.32E-09,1749502793,8.97E-02
1.57E-09,1749502793,1.32E-09,1749502793,8.65E-02
1.58E-09,1749502793,1.32E-09,1749502793,8.97E-02
1.57E-09,1749502793,1.32E-09,1749502793,8.65E-02
1.58E-09,1749502793,1.32E-09,1749502793,8.97E-02
1.58E-09,1749502793,1.32E-09,1749502793,8.97E-02
1.57E-09,1749502793,1.32E-09,1749502793,8.65E-02
1.57E-09,1749502793,1.33E-09,1749502793,8.28E-02
1.56E-09,1749502793,1.33E-09,1749502793,7.96E-02
1.56E-09,1749502793,1.33E-09,1749502793,7.96E-02
1.56E-09,1749502793,1.33E-09,1749502793,7.96E-02
1.56E-09,1749502793,1.33E-09,1749502793,7.96E-02
1.56E-09,1749502793,1.33E-09,1749502793,7.96E-02
1.57E-09,1749502794,1.33E-09,1749502794,8.28E-02
1.56E-09,1749502794,1.33E-09,1749502794,7.96E-02
1.57E-09,1749502794,1.33E-09,1749502794,8.28E-02
1.57E-09,1749502794,1.33E-09,1749502794,8.28E-02
