power 2 (W),time (seconds since jan 1 1975)
-3.57e-12,1784836574.4568582
-3.61e-12,1784836574.5238798
-3.35e-12,1784836574.590856
-3.34e-12,1784836574.656834
-3.72e-12,1784836574.7238624
-3.25e-12,1784836574.7909508
-3.38e-12,1784836574.856836
-3.5e-12,1784836574.9238365
-3.57e-12,1784836574.990858
-3.45e-12,1784836575.0569074
-3.6e-12,1784836575.1238737
-3.6e-12,1784836575.1898386
-3.51e-12,1784836575.256865
-3.48e-12,1784836575.3238907
-3.08e-12,1784836575.3898468
-3.7e-12,1784836575.456833
-3.54e-12,1784836575.5238423
-3.67e-12,1784836575.5898478
-3.48e-12,1784836575.656857
-3.62e-12,1784836575.7238503
-3.48e-12,1784836575.7898839
-3.51e-12,1784836575.8568501
-3.63e-12,1784836575.9238648
-3.81e-12,1784836575.9899042
-3.79e-12,1784836576.0568717
-3.87e-12,1784836576.1238496
-3.44e-12,1784836576.1898656
-3.85e-12,1784836576.2568538
-3.74e-12,1784836576.3238575
-3.65e-12,1784836576.3898714
-3.51e-12,1784836576.4569018
-3.23e-12,1784836576.5228612
-3.27e-12,1784836576.5898612
-3.54e-12,1784836576.656861
-3.31e-12,1784836576.7228568
-3.17e-12,1784836576.7898796
-3.42e-12,1784836576.8568819
-3.65e-12,1784836576.9228776
-3.29e-12,1784836576.9898577
-3.41e-12,1784836577.0568573
-3.53e-12,1784836577.1229153
-3.52e-12,1784836577.1898696
-3.41e-12,1784836577.2568886
-3.57e-12,1784836577.3228977
-3.43e-12,1784836577.389867
-3.38e-12,1784836577.4568546
