Difference,Equation,alpha(rad),beta(rad),gamma(rad),R^2,Linear?
0.0,Not linear,0.0,0.0,0.0,0.0000,False
0.0,Not linear,0.0,0.054165390579134366,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.10833078115826873,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.1624961717374031,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.21666156231653746,0.0,0.0000,False
0.0,Not linear,0.0,0.2708269528956718,0.0,0.0000,False
0.0,Not linear,0.0,0.3249923434748062,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.37915773405394054,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.43332312463307493,0.0,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.4874885152122093,0.0,0.0000,False
5.551115123125783e-17,Not linear,0.0,0.5416539057913436,0.0,0.0000,False
-1.6653345369377348e-16,Not linear,0.0,0.595819296370478,0.0,0.0000,False
1.6653345369377348e-16,Not linear,0.0,0.6499846869496124,0.0,0.0000,False
5.551115123125783e-17,Not linear,0.0,0.7041500775287468,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,0.7583154681078811,0.0,-0.0000,False
5.551115123125783e-17,Not linear,0.0,0.8124808586870155,0.0,0.0000,False
0.0,Not linear,0.0,0.8666462492661499,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,0.9208116398452842,0.0,0.0000,False
0.0,Not linear,0.0,0.9749770304244186,0.0,0.0000,False
1.6653345369377348e-16,Not linear,0.0,1.029142421003553,0.0,0.0000,False
-1.1102230246251565e-16,Not linear,0.0,1.0833078115826873,0.0,0.0000,False
0.0,Not linear,0.0,1.1374732021618217,0.0,0.0000,False
0.0,Not linear,0.0,1.191638592740956,0.0,0.0000,False
0.0,Not linear,0.0,1.2458039833200905,0.0,0.0000,False
0.0,Not linear,0.0,1.2999693738992248,0.0,0.0000,False
0.0,Not linear,0.0,1.3541347644783592,0.0,0.0000,False
0.0,Not linear,0.0,1.4083001550574936,0.0,0.0000,False
0.0,Not linear,0.0,1.4624655456366278,0.0,0.0000,False
0.0,Not linear,0.0,1.5166309362157622,0.0,0.0000,False
0.0,Not linear,0.0,1.5707963267948966,0.0,0.0000,False
0.0,Not linear,0.0,0.0,0.054165390579134366,0.0000,False
-0.00021527208317229096,Not linear,0.0,0.054165390579134366,0.054165390579134366,1.0000,False
-0.00042802029799426933,Not linear,0.0,0.10833078115826873,0.054165390579134366,1.0000,False
-0.0006357503661653663,Not linear,0.0,0.1624961717374031,0.054165390579134366,1.0000,False
-0.0008360268425651185,Not linear,0.0,0.21666156231653746,0.054165390579134366,1.0000,False
-0.0010265016686223927,Not linear,0.0,0.2708269528956718,0.054165390579134366,1.0000,False
-0.0012049417011544827,Not linear,0.0,0.3249923434748062,0.054165390579134366,1.0000,False
-0.0013692548939292504,Not linear,0.0,0.37915773405394054,0.054165390579134366,1.0000,False
-0.0015175148249944037,Not linear,0.0,0.43332312463307493,0.054165390579134366,1.0000,False
-0.0016479832822138274,Not linear,0.0,0.4874885152122093,0.054165390579134366,1.0000,False
-0.0017591306422141129,Not linear,0.0,0.5416539057913436,0.054165390579134366,1.0000,False
-0.0018496538038234034,Not linear,0.0,0.595819296370478,0.054165390579134366,1.0000,False
-0.0019184914657373042,Not linear,0.0,0.6499846869496124,0.054165390579134366,1.0000,False
-0.001964836569309125,Not linear,0.0,0.7041500775287468,0.054165390579134366,1.0000,False
-0.0019881457605730457,Not linear,0.0,0.7583154681078811,0.054165390579134366,1.0000,False
-0.001988145760572761,Not linear,0.0,0.8124808586870155,0.054165390579134366,1.0000,False
0.0019648365693087366,Not linear,0.0,0.8666462492661499,0.054165390579134366,1.0000,False
0.0019184914657374152,Not linear,0.0,0.9208116398452842,0.054165390579134366,1.0000,False
0.0018496538038235144,Not linear,0.0,0.9749770304244186,0.054165390579134366,1.0000,False
0.0017591306422142794,Not linear,0.0,1.029142421003553,0.054165390579134366,1.0000,False
0.0016479832822136053,Not linear,0.0,1.0833078115826873,0.054165390579134366,1.0000,False
0.0015175148249945147,Not linear,0.0,1.1374732021618217,0.054165390579134366,1.0000,False
0.0013692548939293614,Not linear,0.0,1.191638592740956,0.054165390579134366,1.0000,False
0.0012049417011544827,Not linear,0.0,1.2458039833200905,0.054165390579134366,1.0000,False
0.0010265016686223927,Not linear,0.0,1.2999693738992248,0.054165390579134366,1.0000,False
0.0008360268425652295,Not linear,0.0,1.3541347644783592,0.054165390579134366,1.0000,False
0.0006357503661653663,Not linear,0.0,1.4083001550574936,0.054165390579134366,1.0000,False
0.00042802029799449137,Not linear,0.0,1.4624655456366278,0.054165390579134366,1.0000,False
0.00021527208317229096,Not linear,0.0,1.5166309362157622,0.054165390579134366,1.0000,False
0.0,Not linear,0.0,1.5707963267948966,0.054165390579134366,-0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.0,0.10833078115826873,0.0000,False
-0.00042802029799426933,Not linear,0.0,0.054165390579134366,0.10833078115826873,1.0000,False
-0.0008510224493376572,Not linear,0.0,0.10833078115826873,0.10833078115826873,1.0000,False
-0.001264047140559721,Not linear,0.0,0.1624961717374031,0.10833078115826873,1.0000,False
-0.001662252034787759,Not linear,0.0,0.21666156231653746,0.10833078115826873,1.0000,False
-0.00204096854371949,Not linear,0.0,0.2708269528956718,0.10833078115826873,1.0000,False
-0.002395756562551754,Not linear,0.0,0.3249923434748062,0.10833078115826873,1.0000,False
-0.0027224565261487754,Not linear,0.0,0.37915773405394054,0.10833078115826873,1.0000,False
-0.0030172381761428557,Not linear,0.0,0.43332312463307493,0.10833078115826873,1.0000,False
-0.0032766454672087386,Not linear,0.0,0.4874885152122093,0.10833078115826873,1.0000,False
-0.0034976370860367867,Not linear,0.0,0.5416539057913436,0.10833078115826873,1.0000,False
-0.003677622107951528,Not linear,0.0,0.595819296370478,0.10833078115826873,1.0000,False
-0.0038144903731323065,Not linear,0.0,0.6499846869496124,0.10833078115826873,1.0000,False
-0.003906637226310239,Not linear,0.0,0.7041500775287468,0.10833078115826873,1.0000,False
-0.003952982329881893,Not linear,0.0,0.7583154681078811,0.10833078115826873,1.0000,False
-0.003952982329881657,Not linear,0.0,0.8124808586870155,0.10833078115826873,1.0000,False
-0.003906637226310409,Not linear,0.0,0.8666462492661499,0.10833078115826873,1.0000,False
0.0038144903731321123,Not linear,0.0,0.9208116398452842,0.10833078115826873,1.0000,False
0.003677622107951667,Not linear,0.0,0.9749770304244186,0.10833078115826873,1.0000,False
0.0034976370860370087,Not linear,0.0,1.029142421003553,0.10833078115826873,1.0000,False
0.003276645467208572,Not linear,0.0,1.0833078115826873,0.10833078115826873,1.0000,False
0.0030172381761431333,Not linear,0.0,1.1374732021618217,0.10833078115826873,1.0000,False
0.0027224565261491085,Not linear,0.0,1.191638592740956,0.10833078115826873,1.0000,False
0.002395756562551643,Not linear,0.0,1.2458039833200905,0.10833078115826873,1.0000,False
0.0020409685437197123,Not linear,0.0,1.2999693738992248,0.10833078115826873,1.0000,False
0.001662252034787759,Not linear,0.0,1.3541347644783592,0.10833078115826873,1.0000,False
0.0012640471405593878,Not linear,0.0,1.4083001550574936,0.10833078115826873,1.0000,False
0.0008510224493376572,Not linear,0.0,1.4624655456366278,0.10833078115826873,1.0000,False
0.00042802029799449137,Not linear,0.0,1.5166309362157622,0.10833078115826873,1.0000,False
0.0,Not linear,0.0,1.5707963267948966,0.10833078115826873,0.0000,False
1.1102230246251565e-16,Not linear,0.0,0.0,0.1624961717374031,0.0000,False
-0.0006357503661653663,Not linear,0.0,0.054165390579134366,0.1624961717374031,1.0000,False
-0.0012640471405594988,Not linear,0.0,0.10833078115826873,0.1624961717374031,1.0000,False
-0.0018775241179598279,Not linear,0.0,0.1624961717374031,0.1624961717374031,1.0000,False
-0.0024689888417142036,Not linear,0.0,0.21666156231653746,0.1624961717374031,1.0000,False
-0.0030315069287170093,Not linear,0.0,0.2708269528956718,0.1624961717374031,1.0000,False
-0.003558483368714116,Not linear,0.0,0.3249923434748062,0.1624961717374031,1.0000,False
-0.004043739844765248,Not linear,0.0,0.37915773405394054,0.1624961717374031,1.0000,False
-0.004481587168363332,Not linear,0.0,0.43332312463307493,0.1624961717374031,1.0000,False
-0.004866891979966148,Not linear,0.0,0.4874885152122093,0.1624961717374031,1.0000,False
