Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Sdifference
2.11E-05,1750366813,3.46E-05,1750366813,-2.42E-01
2.11E-05,1750366813,3.46E-05,1750366813,-2.42E-01
2.10E-05,1750366813,3.46E-05,1750366813,-2.45E-01
2.10E-05,1750366814,3.47E-05,1750366813,-2.46E-01
2.10E-05,1750366814,3.47E-05,1750366814,-2.46E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366814,3.47E-05,1750366814,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.11E-05,1750366815,3.47E-05,1750366815,-2.44E-01
2.12E-05,1750366815,3.47E-05,1750366815,-2.42E-01
2.12E-05,1750366816,3.47E-05,1750366816,-2.42E-01
2.12E-05,1750366816,3.47E-05,1750366816,-2.42E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.12E-05,1750366816,3.48E-05,1750366816,-2.43E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.48E-05,1750366816,-2.45E-01
2.11E-05,1750366816,3.49E-05,1750366816,-2.46E-01
2.11E-05,1750366817,3.49E-05,1750366817,-2.46E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366817,3.49E-05,1750366817,-2.49E-01
2.10E-05,1750366818,3.48E-05,1750366818,-2.47E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.48E-05,1750366818,-2.47E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.10E-05,1750366818,3.49E-05,1750366818,-2.49E-01
2.09E-05,1750366818,3.49E-05,1750366818,-2.51E-01
2.09E-05,1750366818,3.49E-05,1750366818,-2.51E-01
2.09E-05,1750366818,3.49E-05,1750366818,-2.51E-01
2.09E-05,1750366819,3.49E-05,1750366819,-2.51E-01
2.09E-05,1750366819,3.49E-05,1750366819,-2.51E-01
2.10E-05,1750366819,3.49E-05,1750366819,-2.49E-01
2.10E-05,1750366819,3.49E-05,1750366819,-2.49E-01
2.10E-05,1750366819,3.49E-05,1750366819,-2.49E-01
2.10E-05,1750366819,3.48E-05,1750366819,-2.47E-01
2.10E-05,1750366819,3.48E-05,1750366819,-2.47E-01
2.11E-05,1750366819,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366819,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366819,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366819,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366819,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366819,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366819,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.11E-05,1750366820,3.48E-05,1750366820,-2.45E-01
2.10E-05,1750366820,3.48E-05,1750366820,-2.47E-01
2.10E-05,1750366820,3.48E-05,1750366820,-2.47E-01
2.10E-05,1750366820,3.48E-05,1750366820,-2.47E-01
