power 1 (W),time (seconds since jan 1 1975)
7.39e-12,1784836568.9359093
7.55e-12,1784836569.0028858
8.11e-12,1784836569.0689192
8.41e-12,1784836569.1358526
7.96e-12,1784836569.2028642
7.69e-12,1784836569.2688782
8.44e-12,1784836569.335925
7.7e-12,1784836569.4028687
7.4e-12,1784836569.4688373
6.74e-12,1784836569.5358343
7.03e-12,1784836569.6029253
6.99e-12,1784836569.6688402
6.58e-12,1784836569.7358844
7.87e-12,1784836569.8018665
8e-12,1784836569.868841
7.25e-12,1784836569.935925
6.09e-12,1784836570.0018437
6.05e-12,1784836570.0688248
6.54e-12,1784836570.1358848
6.49e-12,1784836570.2018359
5.99e-12,1784836570.2688901
6.38e-12,1784836570.3358853
5.53e-12,1784836570.401822
5.86e-12,1784836570.4688494
5.79e-12,1784836570.5358472
5.48e-12,1784836570.6018414
4.56e-12,1784836570.6688929
5.44e-12,1784836570.7358267
5.12e-12,1784836570.8019135
4.83e-12,1784836570.8688552
5.4e-12,1784836570.935822
5.84e-12,1784836571.0019011
6.31e-12,1784836571.0688367
7.12e-12,1784836571.1358602
7.06e-12,1784836571.2018626
6.25e-12,1784836571.2688594
5.68e-12,1784836571.401833
6.5e-12,1784836571.4688585
5.5e-12,1784836571.5348823
5.8e-12,1784836571.6688726
5.77e-12,1784836571.7348473
5.54e-12,1784836571.8019404
6e-12,1784836571.8688483
5.58e-12,1784836571.9348848
5.7e-12,1784836572.0019085
5.52e-12,1784836572.0688581
6.04e-12,1784836572.1348524
6.12e-12,1784836572.2688508
5.92e-12,1784836572.3349793
5.61e-12,1784836572.4018738
5.11e-12,1784836572.4689293
5.57e-12,1784836572.534821
6.34e-12,1784836572.6018836
6.79e-12,1784836572.6690316
7.42e-12,1784836572.7348444
6.49e-12,1784836572.8019254
7.07e-12,1784836572.8678384
7.64e-12,1784836572.934884
7.14e-12,1784836573.001946
6.91e-12,1784836573.06784
6e-12,1784836573.1349516
6.04e-12,1784836573.2678704
5.57e-12,1784836573.3348637
5.95e-12,1784836573.4021175
6.14e-12,1784836573.46793
5.66e-12,1784836573.5351045
5.3e-12,1784836573.6019578
5.28e-12,1784836573.6678965
5.3e-12,1784836573.7352045
6.41e-12,1784836573.801899
6.96e-12,1784836573.8678913
6.91e-12,1784836573.9350743
7.51e-12,1784836574.0019677
7.92e-12,1784836574.0681148
7.25e-12,1784836574.1349504
5.96e-12,1784836574.2018394
6.51e-12,1784836574.2680697
6.26e-12,1784836574.3350086
6.27e-12,1784836574.4011364
7.01e-12,1784836574.4678795
6.68e-12,1784836574.5350966
6.13e-12,1784836574.601008
6.96e-12,1784836574.6682818
6.22e-12,1784836574.7349422
7.19e-12,1784836574.800927
6.17e-12,1784836574.8679736
6.52e-12,1784836574.9348829
6.99e-12,1784836575.000902
7.05e-12,1784836575.0678394
7.2e-12,1784836575.1348598
7.47e-12,1784836575.2011871
7.88e-12,1784836575.2679424
7.62e-12,1784836575.334883
6.96e-12,1784836575.4008706
7.15e-12,1784836575.4679208
6.74e-12,1784836575.5348847
6.25e-12,1784836575.600864
5.31e-12,1784836575.667883
4.96e-12,1784836575.7349215
4.29e-12,1784836575.8008473
4.9e-12,1784836575.9338615
5.29e-12,1784836576.0011506
5.28e-12,1784836576.067843
5.79e-12,1784836576.1338546
5.77e-12,1784836576.2008562
5.88e-12,1784836576.2678533
5.67e-12,1784836576.3338935
5.3e-12,1784836576.400849
6.23e-12,1784836576.5338757
6.45e-12,1784836576.6008458
5.5e-12,1784836576.6678953
4.62e-12,1784836576.7338479
4.61e-12,1784836576.8008916
5.72e-12,1784836576.867862
5.22e-12,1784836576.9338722
5.97e-12,1784836577.0008876
7.69e-12,1784836577.0678904
7.42e-12,1784836577.1338584
7.03e-12,1784836577.2008586
6.45e-12,1784836577.2678351
6.99e-12,1784836577.3338337
6.5e-12,1784836577.4008863
6.64e-12,1784836577.4669118
