power 1 (W),time (seconds since jan 1 1975)
7.23e-12,1784836564.53685
7.18e-12,1784836564.6038668
7.06e-12,1784836564.6699028
6.81e-12,1784836564.736875
6.55e-12,1784836564.8038669
5.52e-12,1784836564.8698301
5.79e-12,1784836564.9368691
5.3e-12,1784836565.0028753
5.74e-12,1784836565.0698683
5.7e-12,1784836565.1368582
4.85e-12,1784836565.202851
5.66e-12,1784836565.269853
6.38e-12,1784836565.3368475
5.64e-12,1784836565.4028301
6.27e-12,1784836565.469914
6.37e-12,1784836565.5368488
7.13e-12,1784836565.6029196
6.03e-12,1784836565.6698563
5.04e-12,1784836565.7368407
5.33e-12,1784836565.8028464
5.5e-12,1784836565.8698437
6.3e-12,1784836565.9368465
6.43e-12,1784836566.0028625
7.04e-12,1784836566.0698426
6.15e-12,1784836566.13684
6.1e-12,1784836566.2029173
5.54e-12,1784836566.269859
6.03e-12,1784836566.3368874
4.98e-12,1784836566.4028928
4.56e-12,1784836566.4698458
4.87e-12,1784836566.5369444
4.45e-12,1784836566.6028576
4.53e-12,1784836566.669873
4.47e-12,1784836566.735863
5.41e-12,1784836566.8028681
4.65e-12,1784836566.8698735
4.96e-12,1784836566.9358702
5.21e-12,1784836567.002842
6.31e-12,1784836567.13581
5.02e-12,1784836567.202937
4.59e-12,1784836567.269888
4.77e-12,1784836567.3359034
5.42e-12,1784836567.4028378
4.16e-12,1784836567.469832
5.22e-12,1784836567.535899
4.83e-12,1784836567.6028361
5.04e-12,1784836567.6698215
6.22e-12,1784836567.735869
6.97e-12,1784836567.8029025
7.12e-12,1784836567.86985
6.48e-12,1784836567.9358528
7.76e-12,1784836568.0028386
6.86e-12,1784836568.0698652
6.01e-12,1784836568.1358378
5.87e-12,1784836568.2028346
5.67e-12,1784836568.268843
6.11e-12,1784836568.3358605
6.07e-12,1784836568.4029074
5.53e-12,1784836568.46884
5.56e-12,1784836568.5358498
4.98e-12,1784836568.6028666
6.26e-12,1784836568.6688669
7.01e-12,1784836568.7358575
7.93e-12,1784836568.802845
8.04e-12,1784836568.868827
