time (s),strain (mm/mm),phase (pi radians)
4.197855999999999810e-01,7.950484848484847336e-03,4.938690459443950687e-04
4.204791999999999974e-01,7.963621212121211809e-03,5.007704163996207214e-04
4.217269000000000156e-01,7.987251893939395497e-03,5.060546599932047585e-04
4.195747000000000226e-01,7.946490530303031152e-03,5.058620088704834927e-04
4.214609000000000272e-01,7.982214015151515088e-03,5.738521093942017259e-04
4.181941000000000130e-01,7.920342803030302331e-03,5.957898307068498767e-04
4.146672000000000136e-01,7.853545454545455065e-03,6.642362205199203729e-04
4.190650000000000208e-01,7.936837121212122342e-03,6.448117390335239563e-04
4.166121999999999881e-01,7.890382575757574901e-03,7.106743662825820707e-04
4.169692999999999872e-01,7.897145833333332407e-03,7.213742072244011538e-04
4.177572999999999981e-01,7.912070075757575774e-03,7.324361746243734927e-04
4.162662999999999780e-01,7.883831439393938767e-03,7.978686850838023759e-04
4.162356999999999863e-01,7.883251893939393837e-03,7.911743469226628633e-04
4.162699000000000260e-01,7.883899621212121442e-03,8.363420107827534977e-04
4.161356999999999973e-01,7.881357954545455125e-03,9.371915041536116320e-04
4.166966999999999755e-01,7.891982954545453607e-03,9.306505716930590921e-04
4.190675999999999846e-01,7.936886363636362976e-03,9.764104908143167449e-04
4.145790999999999782e-01,7.851876893939393684e-03,1.000077851776748350e-03
4.148513999999999813e-01,7.857034090909091606e-03,9.953524207107489197e-04
4.155646000000000062e-01,7.870541666666666311e-03,1.056778758852794375e-03
4.155554000000000192e-01,7.870367424242423818e-03,1.044537269390743983e-03
4.144732999999999890e-01,7.849873106060606745e-03,1.141927722102475951e-03
4.149800000000000155e-01,7.859469696969698105e-03,1.112751848892423734e-03
4.133437999999999835e-01,7.828481060606061817e-03,1.145986947020560809e-03
4.150421000000000249e-01,7.860645833333334068e-03,1.201620599413866231e-03
4.171888999999999736e-01,7.901304924242423533e-03,1.144895967550185745e-03
4.169045000000000112e-01,7.895918560606061606e-03,1.194323645972494852e-03
4.159489000000000103e-01,7.877820075757576215e-03,1.181425579711348206e-03
4.177595000000000058e-01,7.912111742424243060e-03,1.234105981283983855e-03
4.155654999999999766e-01,7.870558712121210679e-03,1.218201252693229542e-03
4.161490999999999940e-01,7.881611742424243783e-03,1.208313296198637588e-03
4.166181999999999941e-01,7.890496212121211536e-03,1.241921386751443368e-03
4.176787000000000138e-01,7.910581439393939499e-03,1.229145574051404566e-03
4.182022000000000239e-01,7.920496212121212048e-03,1.233763550496869144e-03
4.212564999999999782e-01,7.978342803030303090e-03,1.184972110329141071e-03
4.227611000000000008e-01,8.006839015151515429e-03,1.216255411980171619e-03
4.241268000000000260e-01,8.032704545454546000e-03,1.154919653477248787e-03
4.231376000000000026e-01,8.013969696969698228e-03,1.151510234516595066e-03
4.260124000000000133e-01,8.068416666666668180e-03,1.122900143600225054e-03
4.282004999999999839e-01,8.109857954545454661e-03,1.140281921778840690e-03
4.295784999999999743e-01,8.135956439393939379e-03,1.096003676664236703e-03
4.281226000000000198e-01,8.108382575757576080e-03,1.120415476137837096e-03
4.272922000000000109e-01,8.092655303030302921e-03,1.148248219736469622e-03
4.279818000000000233e-01,8.105715909090909638e-03,1.099073748992207555e-03
4.286950999999999956e-01,8.119225378787878547e-03,1.127312170442373862e-03
4.271448999999999940e-01,8.089865530303030558e-03,1.125511454693362001e-03
4.276886999999999772e-01,8.100164772727272769e-03,1.047131566926817747e-03
4.249254000000000087e-01,8.047829545454545513e-03,1.118334630883399683e-03
4.270764000000000227e-01,8.088568181818182878e-03,1.140159632920023647e-03
4.267256999999999856e-01,8.081926136363635355e-03,1.077167982489746212e-03
4.246590000000000087e-01,8.042784090909090022e-03,1.044775131758934883e-03
4.264217000000000146e-01,8.076168560606061461e-03,1.046787564744522392e-03
4.267160999999999871e-01,8.081744318181817779e-03,1.116090563893945564e-03
4.269286999999999943e-01,8.085770833333333699e-03,1.103349070652070996e-03
4.240343999999999780e-01,8.030954545454545984e-03,1.107703907018031675e-03
4.224764999999999771e-01,8.001448863636363359e-03,1.120756014555690516e-03
4.236348999999999809e-01,8.023388257575758686e-03,1.136750582810486243e-03
4.206956000000000029e-01,7.967719696969697077e-03,1.171891512317502215e-03
4.219005000000000116e-01,7.990539772727274156e-03,1.174703219605610638e-03
4.215685000000000127e-01,7.984251893939394232e-03,1.211924229481575743e-03
4.243079000000000156e-01,8.036134469696969151e-03,1.219365629613444746e-03
4.246500000000000274e-01,8.042613636363635937e-03,1.202764694543334567e-03
4.256790999999999769e-01,8.062104166666667071e-03,1.183859469302883660e-03
4.266620999999999886e-01,8.080721590909091534e-03,1.166136245381532710e-03
4.286954000000000042e-01,8.119231060606061159e-03,1.144095812358858488e-03
4.284015999999999935e-01,8.113666666666666596e-03,1.067792354426166934e-03
4.298192000000000124e-01,8.140515151515152065e-03,1.040609934168934547e-03
4.270496999999999765e-01,8.088062499999999766e-03,9.412412420415350311e-04
4.247869000000000228e-01,8.045206439393940562e-03,8.912466048641709548e-04
4.259762999999999744e-01,8.067732954545454166e-03,9.539274178388401637e-04
4.223174000000000095e-01,7.998435606060606134e-03,9.676596409404769616e-04
4.195450000000000013e-01,7.945928030303030590e-03,1.021120014490006778e-03
4.170147000000000159e-01,7.898005681818183119e-03,1.064887951745752126e-03
4.194262999999999741e-01,7.943679924242424278e-03,1.084603936288786041e-03
4.156156999999999768e-01,7.871509469696969311e-03,1.134190792028533235e-03
4.199382999999999866e-01,7.953376893939394579e-03,1.138558216109419874e-03
4.190560999999999869e-01,7.936668560606060727e-03,1.167560218714502884e-03
4.182858999999999883e-01,7.922081439393938856e-03,1.127646142332294765e-03
4.213941999999999966e-01,7.980950757575757878e-03,1.091007852552006163e-03
4.198058000000000067e-01,7.950867424242424528e-03,1.084365035625756146e-03
4.202942000000000067e-01,7.960117424242425105e-03,1.125227279887675014e-03
4.242719999999999825e-01,8.035454545454545280e-03,1.024985507569853294e-03
4.232524999999999760e-01,8.016145833333333456e-03,9.807649172784982383e-04
4.203316000000000274e-01,7.960825757575758568e-03,9.892496841426567933e-04
4.230149999999999744e-01,8.011647727272726630e-03,9.102598218915236572e-04
4.196995000000000031e-01,7.948854166666666568e-03,9.033923419338174554e-04
4.214459999999999873e-01,7.981931818181818572e-03,9.277993501253245512e-04
4.198743999999999810e-01,7.952166666666666411e-03,9.175190376852215834e-04
4.201175999999999799e-01,7.956772727272727261e-03,9.684642390902498121e-04
4.178642000000000190e-01,7.914094696969697224e-03,9.756903237927994077e-04
4.180134999999999823e-01,7.916922348484848465e-03,9.651491775443110654e-04
4.154362999999999806e-01,7.868111742424242425e-03,1.020709490879900816e-03
4.178587000000000273e-01,7.913990530303029874e-03,9.838763357485347250e-04
4.147104999999999819e-01,7.854365530303030959e-03,1.005511830656058425e-03
4.141087999999999991e-01,7.842969696969697216e-03,1.016642924359933975e-03
4.136509999999999909e-01,7.834299242424241569e-03,9.967867508364203211e-04
4.165266000000000246e-01,7.888761363636365154e-03,1.002179632430266754e-03
4.136159999999999837e-01,7.833636363636363800e-03,1.050017086603960426e-03
4.196771999999999725e-01,7.948431818181818029e-03,1.014123841608371990e-03
4.169877000000000167e-01,7.897494318181819128e-03,1.071441731646638473e-03
4.150418000000000163e-01,7.860640151515151455e-03,1.126420638385805528e-03
4.161097000000000268e-01,7.880865530303031441e-03,1.056718489665320337e-03
4.146661999999999848e-01,7.853526515151514759e-03,1.101202419323821236e-03
4.144458999999999782e-01,7.849354166666667673e-03,1.045021503628451587e-03
4.158741000000000243e-01,7.876403409090909288e-03,1.039670476598975046e-03
4.142070999999999947e-01,7.844831439393939662e-03,1.085294808351511264e-03
4.164798000000000111e-01,7.887874999999999054e-03,1.060055445015195552e-03
4.178398999999999863e-01,7.913634469696969806e-03,1.044929314205356174e-03
4.165473000000000092e-01,7.889153409090908162e-03,1.022083401079787457e-03
4.164675999999999934e-01,7.887643939393939110e-03,1.010959581863590806e-03
4.171049000000000007e-01,7.899714015151515847e-03,9.359841558437276277e-04
4.183433999999999764e-01,7.923170454545453573e-03,9.447738157486451627e-04
4.180092000000000252e-01,7.916840909090909831e-03,9.306365802006499877e-04
4.175453000000000081e-01,7.908054924242425079e-03,9.021652798307799870e-04
4.164133999999999891e-01,7.886617424242424457e-03,9.395484977058332632e-04
4.172486999999999724e-01,7.902437499999999740e-03,8.849621807190954925e-04
4.171965999999999730e-01,7.901450757575756434e-03,8.819291105595095104e-04
4.193350000000000133e-01,7.941950757575758774e-03,8.514927992591125872e-04
4.168105999999999756e-01,7.894140151515150264e-03,8.033547217538572482e-04
4.170166000000000150e-01,7.898041666666666058e-03,8.256239482792304685e-04
4.168196000000000123e-01,7.894310606060606084e-03,7.866152780401369782e-04
4.156322000000000072e-01,7.871821969696969623e-03,7.845028461581637913e-04
4.170240000000000058e-01,7.898181818181818081e-03,7.051030848029826714e-04
4.182603999999999767e-01,7.921598484848484459e-03,7.485925449347563543e-04
4.186752000000000251e-01,7.929454545454546824e-03,7.194633165605868186e-04
4.205571000000000170e-01,7.965096590909090390e-03,7.366859469589703835e-04
4.176576000000000177e-01,7.910181818181819674e-03,7.370028966020569783e-04
4.180014000000000229e-01,7.916693181818182726e-03,7.536943886915503654e-04
4.185158999999999963e-01,7.926437499999999456e-03,7.295990023771237176e-04
4.205216999999999983e-01,7.964426136363635805e-03,7.063078900830799256e-04
4.192394999999999872e-01,7.940142045454545369e-03,7.224717042907391473e-04
4.173647999999999803e-01,7.904636363636363683e-03,6.427789198999445119e-04
4.168464000000000058e-01,7.894818181818181665e-03,6.794903583146050252e-04
4.182869000000000170e-01,7.922100378787879163e-03,6.601849584940699955e-04
4.186900000000000066e-01,7.929734848484849136e-03,6.516631573884046347e-04
4.172847000000000084e-01,7.903119318181817815e-03,7.086194623097119560e-04
4.187961000000000045e-01,7.931744318181818687e-03,7.128095366633058205e-04
4.195182000000000078e-01,7.945420454545455008e-03,6.836758165432721412e-04
4.206230000000000246e-01,7.966344696969697436e-03,6.621881883451807838e-04
4.201995000000000036e-01,7.958323863636363599e-03,6.644322271077696129e-04
4.226885000000000225e-01,8.005464015151515789e-03,6.660314566510061596e-04
4.205827999999999789e-01,7.965583333333333196e-03,7.134165388937852015e-04
4.231056000000000261e-01,8.013363636363636175e-03,6.943877160259237513e-04
4.242680999999999814e-01,8.035380681818181728e-03,7.124239991543879214e-04
4.223894000000000259e-01,7.999799242424242285e-03,6.565868217595083323e-04
4.257422000000000151e-01,8.063299242424243340e-03,6.801186733697006659e-04
4.262887000000000204e-01,8.073649621212122124e-03,7.251982548774904558e-04
4.276878000000000069e-01,8.100147727272728401e-03,7.072877402689581317e-04
4.282074000000000158e-01,8.109988636363637399e-03,7.687031345491313061e-04
4.276408999999999905e-01,8.099259469696969832e-03,8.286426630377263791e-04
4.274546000000000179e-01,8.095731060606061943e-03,8.669207040706838896e-04
4.263951000000000269e-01,8.075664772727272553e-03,9.252525071183903549e-04
4.294781999999999766e-01,8.134056818181818055e-03,9.618356724266918789e-04
4.285942999999999836e-01,8.117316287878787937e-03,1.076846466676772973e-03
4.272498000000000129e-01,8.091852272727273129e-03,1.085991207175784901e-03
4.264899999999999802e-01,8.077462121212120733e-03,1.166663757530161938e-03
4.225323999999999747e-01,8.002507575757574279e-03,1.220603622597127291e-03
4.247292999999999763e-01,8.044115530303029907e-03,1.210491689944193094e-03
4.243028999999999828e-01,8.036039772727272823e-03,1.205022495928687043e-03
4.236978000000000133e-01,8.024579545454544813e-03,1.177995585847413373e-03
4.228235000000000188e-01,8.008020833333334004e-03,1.220002773756445613e-03
4.239995999999999765e-01,8.030295454545454889e-03,1.213367371040996456e-03
4.236921000000000159e-01,8.024471590909090790e-03,1.213798528259757425e-03
4.220033000000000256e-01,7.992486742424243645e-03,1.160867239644869375e-03
4.208791000000000060e-01,7.971195075757575924e-03,1.103521190726985957e-03
4.229518999999999918e-01,8.010452651515152095e-03,1.063105745986503425e-03
4.198949000000000153e-01,7.952554924242424481e-03,1.117463010193164852e-03
4.220100999999999991e-01,7.992615530303030444e-03,1.044401277925488536e-03
4.242264000000000035e-01,8.034590909090909630e-03,1.033540026888324359e-03
4.234082000000000123e-01,8.019094696969696415e-03,9.768578381684767109e-04
4.258546999999999749e-01,8.065429924242424609e-03,9.510435890702773065e-04
4.274550999999999767e-01,8.095740530303029495e-03,8.703693412928092954e-04
4.277290000000000258e-01,8.100928030303031213e-03,8.720753519851909275e-04
4.285297000000000134e-01,8.116092803030303809e-03,8.327009469658586127e-04
4.282547999999999910e-01,8.110886363636363519e-03,8.020721831758503839e-04
4.297730000000000161e-01,8.139640151515151190e-03,8.264759209132277462e-04
4.312910999999999828e-01,8.168392045454544656e-03,7.864592984414553456e-04
4.314360999999999891e-01,8.171138257575757263e-03,7.791918915366347065e-04
4.360005000000000130e-01,8.257585227272727993e-03,8.309099831539379366e-04
4.320621000000000045e-01,8.182994318181818424e-03,8.234980570486216678e-04
4.313118000000000229e-01,8.168784090909091133e-03,8.531607774000526945e-04
4.321859000000000117e-01,8.185339015151515268e-03,7.919313642785752450e-04
4.326692999999999789e-01,8.194494318181817782e-03,8.395439306878582642e-04
4.329440999999999984e-01,8.199698863636363869e-03,8.302112414341200619e-04
4.306068000000000118e-01,8.155431818181818615e-03,7.956927961718651687e-04
4.286461999999999772e-01,8.118299242424241099e-03,7.932608337662960807e-04
4.292965999999999727e-01,8.130617424242423882e-03,7.834325530456931475e-04
4.301683000000000034e-01,8.147126893939394057e-03,7.437458591614820591e-04
4.319812000000000096e-01,8.181462121212122393e-03,6.451997846350643329e-04
4.313258999999999843e-01,8.169051136363635751e-03,5.977090791755568233e-04
4.330689999999999817e-01,8.202064393939393488e-03,5.350883097711145453e-04
4.320423999999999931e-01,8.182621212121212254e-03,5.417405324601443084e-04
4.334312000000000165e-01,8.208924242424243262e-03,4.534028631070219362e-04
4.374669999999999948e-01,8.285359848484847439e-03,3.236599590480393474e-04
4.352724000000000038e-01,8.243795454545455037e-03,3.074148200029602762e-04
4.370859000000000272e-01,8.278142045454546863e-03,3.122208344260579693e-04
4.412377000000000105e-01,8.356774621212122514e-03,2.478318495328091231e-04
4.380163999999999724e-01,8.295765151515151203e-03,2.965559111494098232e-04
4.402311999999999892e-01,8.337712121212120797e-03,3.389908876788583214e-04
4.420225999999999877e-01,8.371640151515150757e-03,2.541638267148371710e-04
4.394404000000000088e-01,8.322734848484848388e-03,3.661550314614236967e-04
4.405235000000000123e-01,8.343248106060605768e-03,2.686254414282496228e-04
4.407432000000000016e-01,8.347409090909091098e-03,2.612792804415065007e-04
4.398894999999999889e-01,8.331240530303029093e-03,3.255339952563662820e-04
4.398996000000000017e-01,8.331431818181817689e-03,3.602759987781922746e-04
4.399817999999999785e-01,8.332988636363634904e-03,3.451605862369033773e-04
4.382899000000000100e-01,8.300945075757576105e-03,3.577315219897014842e-04
4.371498999999999802e-01,8.279354166666667500e-03,3.586198194404088824e-04
4.406989000000000045e-01,8.346570075757574897e-03,3.712842121599280176e-04
4.406066000000000149e-01,8.344821969696969086e-03,4.494749740836523344e-04
4.383456000000000019e-01,8.302000000000000351e-03,3.975490543988158265e-04
4.421779000000000126e-01,8.374581439393940369e-03,4.156684146148226233e-04
4.382886999999999755e-01,8.300922348484847391e-03,4.237081937324971292e-04
4.365676000000000001e-01,8.268325757575757315e-03,3.613777582046617809e-04
4.370612999999999859e-01,8.277676136363636833e-03,3.401665758973049236e-04
4.374938999999999911e-01,8.285869318181817225e-03,2.759312002459379798e-04
4.383325000000000138e-01,8.301751893939394306e-03,3.156035058055062237e-04
4.408314999999999872e-01,8.349081439393939152e-03,2.839818019744200228e-04
4.379341999999999957e-01,8.294208333333332253e-03,2.732068990192182412e-04
4.399973999999999830e-01,8.333284090909090849e-03,2.486332282169989583e-04
4.412164000000000086e-01,8.356371212121212547e-03,1.505913904396027903e-04
4.437097999999999876e-01,8.403594696969697575e-03,9.341841659160632361e-05
4.463560999999999779e-01,8.453714015151514785e-03,9.541152741365799272e-05
4.466865999999999892e-01,8.459973484848483383e-03,1.304459783385558680e-04
4.480585000000000262e-01,8.485956439393940731e-03,1.089378317545852681e-04
4.465873000000000204e-01,8.458092803030304099e-03,1.012337162182852524e-04
4.497212999999999905e-01,8.517448863636362458e-03,1.613739712800210668e-04
4.498825000000000185e-01,8.520501893939394500e-03,2.182689557611583453e-04
4.504593000000000069e-01,8.531426136363637336e-03,1.652068207677048761e-04
4.491815000000000113e-01,8.507225378787879738e-03,2.392875336599820102e-04
4.498386999999999802e-01,8.519672348484849320e-03,2.602377872924499513e-04
4.482821000000000167e-01,8.490191287878789614e-03,3.473200693243638781e-04
4.505832000000000170e-01,8.533772727272728384e-03,3.563170653608782601e-04
4.499835999999999836e-01,8.522416666666665988e-03,3.681663438936944033e-04
4.498709000000000180e-01,8.520282196969698046e-03,4.247286173312270208e-04
4.465168999999999944e-01,8.456759469696970011e-03,4.260501988982978716e-04
4.490511999999999837e-01,8.504757575757575239e-03,4.149651753301286661e-04
4.491693999999999964e-01,8.506996212121212264e-03,3.839437106346599293e-04
4.495753000000000110e-01,8.514683712121213013e-03,3.479018524371602084e-04
4.537240000000000162e-01,8.593257575757577010e-03,3.283522348569434257e-04
4.526304999999999912e-01,8.572547348484848423e-03,3.062252918575314453e-04
4.575491999999999893e-01,8.665704545454545882e-03,3.609940184041704470e-04
4.564505999999999841e-01,8.644897727272726762e-03,3.243086830412300614e-04
4.575117000000000211e-01,8.664994318181819949e-03,5.100910186027762805e-04
4.593235999999999986e-01,8.699310606060606244e-03,5.093923370327324562e-04
4.573883999999999728e-01,8.662659090909090656e-03,6.295985642601475973e-04
4.554727000000000081e-01,8.626376893939392831e-03,6.300139541752791672e-04
4.529720999999999886e-01,8.579017045454545923e-03,6.979689240412811913e-04
4.511245999999999867e-01,8.544026515151514900e-03,7.131482862069438156e-04
4.531977999999999840e-01,8.583291666666666153e-03,7.497145085986200996e-04
4.536183999999999772e-01,8.591257575757575010e-03,6.077705883655859509e-04
4.553977000000000164e-01,8.624956439393940966e-03,6.423708074390077627e-04
4.542074999999999863e-01,8.602414772727271994e-03,4.966965495681874287e-04
4.574542999999999804e-01,8.663907196969697702e-03,5.379558182738719552e-04
4.595562999999999731e-01,8.703717803030301681e-03,5.557427828777328216e-04
4.586414999999999798e-01,8.686392045454545754e-03,5.943107573792572040e-04
4.606851000000000140e-01,8.725096590909092384e-03,6.104544617934193340e-04
4.592837000000000169e-01,8.698554924242424616e-03,7.290598902056633079e-04
4.543418000000000179e-01,8.604958333333334250e-03,8.208888157242855144e-04
4.563984999999999848e-01,8.643910984848485191e-03,7.858310340328467092e-04
4.500462000000000073e-01,8.523602272727272972e-03,7.596779575894663239e-04
4.527182000000000150e-01,8.574208333333332988e-03,7.687325540329803530e-04
4.516393000000000213e-01,8.553774621212121773e-03,6.872139045399627832e-04
4.517586000000000102e-01,8.556034090909091575e-03,5.723453135050293739e-04
4.530854999999999744e-01,8.581164772727273293e-03,5.518403006158356661e-04
4.559062999999999866e-01,8.634589015151515265e-03,4.948414180279137042e-04
4.586914000000000269e-01,8.687337121212121774e-03,4.760460603502325583e-04
4.576456999999999886e-01,8.667532196969697858e-03,3.910919554517278129e-04
4.569542999999999799e-01,8.654437500000000671e-03,3.693890694790313844e-04
4.576309000000000071e-01,8.667251893939395546e-03,4.284778309252557094e-04
